town,town_norm,community_type,priority,board,doctype,year,verdict,topic_hits,vote_hits,body_hits,topic_pages,npages,url,kind,err
Andover,andover,commuter rail,5,,,,CONFIRMED,21,1,6,"1,3,4,5,7,11,15",28,https://andoverma.gov/DocumentCenter/View/13494/MBTA-Communities-Zone-update-101223---FINAL?bidId=,file,
Andover,andover,commuter rail,5,,,,CONFIRMED,14,2,6,"1,2,3,19",29,https://andoverma.gov/DocumentCenter/View/13670/MBTA-Communities-Zone-update-110923---FINAL?bidId=,file,
Andover,andover,commuter rail,5,,,,CONFIRMED,7,2,7,"1,3,4,17",20,https://andoverma.gov/DocumentCenter/View/13671/MBTA-Communities-Working-Group-92823---FINAL?bidId=,file,
Andover,andover,commuter rail,5,,,,CONFIRMED,14,2,14,"1,3,4,31,32",36,https://andoverma.gov/DocumentCenter/View/13692/MBTA-Communities-Zone-update-111623---FINAL?bidId=,file,
Andover,andover,commuter rail,5,,,,CONFIRMED,14,1,9,"1,26,27,28",38,https://andoverma.gov/DocumentCenter/View/13951/MBTA-Communities-Working-Group-121123---FINALpptx,file,
Andover,andover,commuter rail,5,,,,PROBABLE,13,0,8,"1,3,4,5,8",43,https://andoverma.gov/DocumentCenter/View/13971/MBTA-Communities-Zone-update-121323---FINAL-w-Gamble-slides?bidId=,file,
Andover,andover,commuter rail,5,,,,CONFIRMED,6,1,6,"1,4",13,https://andoverma.gov/DocumentCenter/View/13983/MBTA-Communities-Zone-Working-Group-122123-Final?bidId=,file,
Andover,andover,commuter rail,5,,,,CONFIRMED,32,1,2,"1,2,3,4,5,6,7,8,9,10,11,15,17",19,https://andoverma.gov/DocumentCenter/View/14043/Andover-MBTA-Communities-Comms-Plan_for-Working-Group_1424?bidId=,file,
Arlington,arlington,subway or light rail,5,,,,NO,0,0,0,,0,https://www.arlingtonma.gov/home/showpublisheddocument/67120/638399915962630000?ref=mbtacommunities.bostonindicators.org,file,
Ashburnham,ashburnham,MBTA adjacent,5,,,,NO,0,7,0,,0,https://ashburnham-ma.gov/DocumentCenter/View/2509/New-MBTA-Multi-family-Overlay-District-Map-,file,
Ashburnham,ashburnham,MBTA adjacent,5,,,,TOPIC_ONLY,11,0,0,1,0,https://ashburnham-ma.gov/711/MBTA-Communities-Act-Information-Page,page,
Ashburnham,ashburnham,MBTA adjacent,5,,,,NO,0,0,0,,0,https://ashburnham-ma.gov/728/Proposed-Multi-Family-Overlay-District-M,page,
Ashburnham,ashburnham,MBTA adjacent,5,,,2025,TOPIC_ONLY,3,0,0,1,1,https://ashburnham-ma.gov/DocumentCenter/View/2722,page,
Ashburnham,ashburnham,MBTA adjacent,5,,bylaw,,NO,0,0,0,,12,https://ashburnham-ma.gov/DocumentCenter/View/2511/Proposed-New-MBTA-MFOD-Compliance-Bylaw,file,
Ashburnham,ashburnham,MBTA adjacent,5,,bylaw,,NO,0,0,0,,0,https://ashburnham-ma.gov/727/Proposed-Bylaw-Amendment---Multifamily-O,page,
Ashburnham,ashburnham,MBTA adjacent,5,zoning,,2025,PROBABLE,6,1,0,"1,2,4,10",11,https://ashburnham-ma.gov/DocumentCenter/View/2394/April-16-2025-MBTA-Public-Info-Session-No-1,file,
Ashburnham,ashburnham,MBTA adjacent,5,zoning,,2025,CONFIRMED,8,1,1,"1,2,4,6,15",16,https://ashburnham-ma.gov/DocumentCenter/View/2395/June-3-2025-Ashburnham-MBTA--Public-Information-Session-No-2,file,
Ashburnham,ashburnham,MBTA adjacent,1,town_meeting,warrant,,FETCH_FAIL,0,0,0,,0,http://www.ashburnham-ma.gov/Pages/AshburnhamMA_TownMtgs/ATM%205-1-04%20WarrantA.pdf,file,HTTPError
Ashburnham,ashburnham,MBTA adjacent,1,town_meeting,warrant,,FETCH_FAIL,0,0,0,,0,http://www.ashburnham-ma.gov/Pages/AshburnhamMA_TownMtgs/June%204%20%202013%20Special%20Town%20Meeting%20Warrant.pdf,file,HTTPError
Ashby,ashby,MBTA adjacent,5,,,,CONFIRMED,17,1,11,"1,2,3",5,https://drive.google.com/uc?export=download&id=1lpymrYkOWAKtyN19Ze-7ZQ2ylP3vB-AE,file,
Ashby,ashby,MBTA adjacent,5,planning_board,,,PROBABLE,14,0,15,1,0,https://ci.ashby.ma.us/departments/planning-board/planning-board-news/multi-family-zoning-requirement-for-mbta-communities/,page,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,FETCH_FAIL,0,0,0,,0,http://www.ci.ashby.ma.us:80/clerk/warrants/ATM05Warrant.pdf,file,HTTPError
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,1,http://www.ci.ashby.ma.us:80/document/official/payroll_warrant_form.pdf,file,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,1,https://drive.google.com/uc?export=download&id=17sym6ZLb0C56ivvLEwwUDOi86tMIb5HF,file,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,2,https://drive.google.com/uc?export=download&id=19NhKHaydzB3WLwjK0D68cIo4geAxgm0j,file,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,3,https://drive.google.com/uc?export=download&id=1AoNoOZGyS4k-VMuFXueQ52kEmNVJ1z4f,file,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,19,https://drive.google.com/uc?export=download&id=1DQLWGBypih2tZBvUNIDp-gws-3K_4K8f,file,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,2,https://drive.google.com/uc?export=download&id=1HiAfj9JmIVQgPkRXrzV1-IFDh33P61PP,file,
Ashby,ashby,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,5,https://drive.google.com/uc?export=download&id=1HqrU8CIK5fNr9HvrLYXFRvtRnIqMrGx4,file,
Ashland,ashland,commuter rail,5,,,,CONFIRMED,9,6,2,"1,2,3,5",7,https://ashlandmass.com/DocumentCenter/View/12341,file,
Ashland,ashland,commuter rail,5,,,,NO,0,0,0,,5,https://ashlandmass.com/DocumentCenter/View/13643,file,
Ashland,ashland,commuter rail,5,,,,CONFIRMED,18,5,2,"1,2,3,5",5,https://ashlandmass.com/DocumentCenter/View/14615,file,
Ashland,ashland,commuter rail,5,,,,PROBABLE,17,0,1,"1,2,3,4,5",5,https://ashlandmass.com/DocumentCenter/View/15986,file,
Ashland,ashland,commuter rail,5,,,,NO,0,0,0,,0,https://drive.google.com/uc?export=download&id=13_zWFFDFXAVGYHkh24pyuAha8dTCkMwH,file,
Ashland,ashland,commuter rail,5,,,,NO,0,0,0,,0,https://drive.google.com/uc?export=download&id=1ubSA7TdE6JI3WMfR-ZJAddwvF2edolEH,file,
Ashland,ashland,commuter rail,5,,,,CONFIRMED,27,2,29,1,0,https://ashlandmass.com/1092/MBTA-Communities,page,
Ashland,ashland,commuter rail,5,,,2024,NO,0,13,0,,0,https://ashlandmass.com/ImageRepository/Document?documentID=1377,file,
Ashland,ashland,commuter rail,5,,bylaw,,NO,0,0,0,,5,https://ashlandmass.com/DocumentCenter/View/14446,file,
Ashland,ashland,commuter rail,5,planning_board,,,PROBABLE,10,1,0,"1,2,4,5,9",13,https://ashlandmass.com/DocumentCenter/View/12343,file,
Attleboro,attleboro,commuter rail,1,town_meeting,warrant,,NO,0,0,0,,1,https://www.cityofattleboro.us/DocumentCenter/View/13268,file,
Attleboro,attleboro,commuter rail,1,town_meeting,warrant,2026,NO,0,0,0,,1,https://cityofattleboro.us/DocumentCenter/View/14179/State-Primary-2026-Warrant,file,
Attleboro,attleboro,commuter rail,2,city_council,minutes,2026,NO,0,8,0,,2,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_01062026-2904,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,NO,0,82,24,,8,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_01122026-2917,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,CONFIRMED,1,6,14,4,4,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_03032026-2997,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,NO,0,64,15,,7,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_03092026-3015,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,NO,0,34,12,,4,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_03232026-3035,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,NO,0,76,15,,5,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_04062026-3053,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,NO,0,30,9,,4,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_04272026-3085,file,
Attleboro,attleboro,commuter rail,3,planning_board,minutes,2026,NO,0,32,9,,3,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_05042026-3097,file,
Auburn,auburn,MBTA adjacent,1,town_meeting,warrant,,NO,0,11,27,,6,https://pakachoaggolfcourse.com/DocumentCenter/View/18728/Submitting-a-Warrant-Article-Instructions-PDF,file,
Auburn,auburn,MBTA adjacent,1,town_meeting,warrant,,NO,0,0,0,,1,https://www.auburnma.gov/DocumentCenter/View/12246,file,
Auburn,auburn,MBTA adjacent,1,town_meeting,warrant,,NO,0,11,27,,6,https://www.auburnma.gov/DocumentCenter/View/18728/Submitting-a-Warrant-Article-Instructions-PDF,file,
Auburn,auburn,MBTA adjacent,1,town_meeting,warrant,,FETCH_FAIL,0,0,0,,0,https://www.auburnma.gov/DocumentCenter/View/19013/Special-Town-Meeting-WarrantPDF,file,HTTPError
Auburn,auburn,MBTA adjacent,1,town_meeting,warrant,2025,FETCH_FAIL,0,0,0,,0,https://auburnma.gov/DocumentCenter/View/18353/Merged-2025-Warrant-and-Addendum-PDF,file,HTTPError
Auburn,auburn,MBTA adjacent,2,city_council,minutes,2026,NO,0,2,0,,2,https://auburnma.gov/AgendaCenter/ViewFile/Minutes/_02172026-2374,page,
Auburn,auburn,MBTA adjacent,2,city_council,minutes,2026,NO,0,0,0,,2,https://auburnma.gov/AgendaCenter/ViewFile/Minutes/_05122026-2480,page,
Auburn,auburn,MBTA adjacent,2,city_council,minutes,2026,NO,0,2,0,,2,https://pakachoaggolfcourse.com/AgendaCenter/ViewFile/Minutes/_02172026-2374,page,
Auburn,auburn,MBTA adjacent,2,city_council,minutes,2026,NO,0,0,0,,2,https://pakachoaggolfcourse.com/AgendaCenter/ViewFile/Minutes/_05122026-2480,page,
Auburn,auburn,MBTA adjacent,3,planning_board,minutes,2026,NO,0,59,9,,4,https://auburnma.gov/AgendaCenter/ViewFile/Minutes/_01132026-2335,file,
Ayer,ayer,commuter rail,5,,,,PROBABLE,5,0,5,1,0,https://www.ayer.ma.us/547/MBTA-Communities-Documents,page,
Ayer,ayer,commuter rail,5,,bylaw,,CONFIRMED,9,1,6,"1,5,6",6,https://www.ayer.ma.us/DocumentCenter/View/110,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,47,58,,10,https://www.ayer.ma.us/DocumentCenter/View/13706,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,175,73,,14,https://www.ayer.ma.us/DocumentCenter/View/13748,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,4,8,,2,https://www.ayer.ma.us/DocumentCenter/View/13749,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,185,81,,13,https://www.ayer.ma.us/DocumentCenter/View/13755,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,53,33,,5,https://www.ayer.ma.us/DocumentCenter/View/13756,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,24,25,,4,https://www.ayer.ma.us/DocumentCenter/View/13757,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,4,12,,2,https://www.ayer.ma.us/DocumentCenter/View/14370,file,
Ayer,ayer,commuter rail,1,town_meeting,warrant,,NO,0,0,3,,1,https://www.ayer.ma.us/DocumentCenter/View/2098/Town-of-Ayer---Warrant-Submission-Form-PDF,file,
Bedford,bedford,bus,5,,,,CONFIRMED,9,2,8,"1,2,3",4,https://bedfordma.gov/DocumentCenter/View/2157,file,
Bedford,bedford,bus,5,,,,CONFIRMED,9,2,8,"1,2,3",4,https://www.bedfordma.gov/DocumentCenter/View/2157/ActionPlanforMBTACommunities_SubmissionPDF,file,
Bedford,bedford,bus,5,,bylaw,,CONFIRMED,8,2,6,"1,2",2,https://bedfordma.gov/DocumentCenter/View/3655/MBTA-Communities-Act-Bylaw-Passage-Support-,file,
Bedford,bedford,bus,5,planning_board,,,NO,0,0,0,,0,https://bedfordma.gov/ImageRepository/Document?documentID=532,file,
Bedford,bedford,bus,5,zoning,,,CONFIRMED,10,2,5,"4,5,8,15,16,22,24,25",27,https://www.bedfordma.gov/DocumentCenter/View/3766/Articles-11-and-12-Multifamily-Zoning,file,
Bedford,bedford,bus,5,zoning,,,CONFIRMED,10,2,5,"4,5,8,15,16,22,24,25",27,https://www.bedfordma.gov/DocumentCenter/View/3766/Articles-11-and-12-Multifamily-Zoning?bidId=,file,
Bedford,bedford,bus,5,zoning,,,FETCH_FAIL,0,0,0,,0,https://bedfordma.gov/836/MBTA-Communities-Multifamily-Zoning-Requ,page,HTTPError
Bedford,bedford,bus,5,zoning,,2022,TOPIC_ONLY,4,0,0,"1,3,4",7,https://bedfordma.gov/DocumentCenter/View/2098/MBTA-Communities-Multifamily-Zoning-Requirement-Summary-9-16-22-PDF?bidId=,file,
Bedford,bedford,bus,5,zoning,,2022,TOPIC_ONLY,4,0,0,"1,3,4",7,https://www.bedfordma.gov/DocumentCenter/View/2098/MBTA-Communities-Multifamily-Zoning-Requirement-Summary-9-16-22-PDF,file,
Bedford,bedford,bus,5,zoning,,2023,PROBABLE,6,0,1,"1,2,3,16",16,https://bedfordma.gov/DocumentCenter/View/3070,file,
Belmont,belmont,bus,5,,,,CONFIRMED,10,2,11,"1,2,3,4",4,https://belmont-ma.gov/DocumentCenter/View/3144,file,
Belmont,belmont,bus,5,,,,CONFIRMED,204,4,1,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",26,https://belmont-ma.gov/DocumentCenter/View/3152,file,
Belmont,belmont,bus,5,,,,FETCH_FAIL,0,0,0,,0,https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/uploads/mbta_communities_advisory_ag.pdf,file,HTTPError
Belmont,belmont,bus,5,,,,FETCH_FAIL,0,0,0,,0,https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/uploads/mbta_communities_zoning_2nd_map.pdf,file,HTTPError
Belmont,belmont,bus,5,,,2024,FETCH_FAIL,0,0,0,,0,https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/events/2024-04-01_mbta_communities_advisory.pdf,file,HTTPError
Belmont,belmont,bus,5,city_council,,,CONFIRMED,87,11,35,"1,2,3,4,5,6,8,10,12,14,16,18,20,23,24,26",27,https://belmont-ma.gov/DocumentCenter/View/3147,file,
Belmont,belmont,bus,5,finance,,,PROBABLE,5,0,1,"1,2",3,https://belmont-ma.gov/DocumentCenter/View/3153,file,
Belmont,belmont,bus,5,finance,,,NO,0,1,0,,0,https://belmont-ma.gov/ImageRepository/Document?documentID=473,file,
Belmont,belmont,bus,5,finance,,,NO,0,0,0,,2,https://belmont-ma.gov/ImageRepository/Document?documentID=475,file,
Belmont,belmont,bus,5,finance,,,NO,0,0,0,,14,https://belmont-ma.gov/ImageRepository/Document?documentID=476,file,
Berkley,berkley,MBTA adjacent,5,,bylaw,,CONFIRMED,4,1,9,1,0,https://townofberkleyma.gov/public-forum-proposed-bylaw-changes-including-mbta-communities-3a-compliance-tonight-at-605pm/,page,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2022,NO,0,61,17,,5,https://townofberkleyma.gov/wp-content/uploads/2024/12/Special-Town-Meeting-Minutes-2022-11-14.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2023,NO,0,135,23,,22,https://townofberkleyma.gov/wp-content/uploads/2024/12/Annual-Town-Meeting-Minutes-2023-06-05.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2024,NO,0,95,27,,12,https://townofberkleyma.gov/wp-content/uploads/2024/12/2024-11-14-Special-Town-Meeting-Minutes.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2024,NO,0,103,22,,15,https://townofberkleyma.gov/wp-content/uploads/2024/12/ANNUAL-TOWN-MEETING-Mins-June-6-2022.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2024,NO,0,180,62,,28,https://townofberkleyma.gov/wp-content/uploads/2024/12/ATM-Mins-June-1-2026.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2024,NO,0,183,62,,30,https://townofberkleyma.gov/wp-content/uploads/2024/12/ATM-Mins-June-2-2025.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2024,NO,0,125,22,,24,https://townofberkleyma.gov/wp-content/uploads/2024/12/Annual-Town-Meeting-Minutes-2024-06-03.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,minutes,2025,CONFIRMED,4,126,38,5,13,https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,file,
Berkley,berkley,MBTA adjacent,1,town_meeting,warrant,,NO,0,2,13,,0,https://townofberkleyma.gov/annual-town-meeting-warrant-opening-and-closing-dates-times/,page,
Beverly,beverly,bus,5,,,,NO,0,0,0,,0,https://beverlyma.gov/DocumentCenter/View/5295,file,
Beverly,beverly,bus,5,,,,NO,0,7,0,,0,https://beverlyma.gov/DocumentCenter/View/5308,file,
Beverly,beverly,bus,5,,,2024,NO,0,12,0,,0,https://beverlyma.gov/DocumentCenter/View/5334,file,
Beverly,beverly,bus,5,,,2024,TOPIC_ONLY,11,0,0,"1,2,3,4,6,8",13,https://beverlyma.gov/DocumentCenter/View/5598,file,
Beverly,beverly,bus,5,zoning,,,NO,0,2,0,,4,https://beverlyma.gov/ImageRepository/Document?documentID=336,file,
Beverly,beverly,bus,5,zoning,,,CONFIRMED,51,2,2,1,0,https://beverlyma.gov/1105/MBTA-Communities-Multifamily-Zoning,page,
Beverly,beverly,bus,2,city_council,minutes,2026,NO,0,15,4,,3,https://beverlyma.gov/AgendaCenter/ViewFile/Minutes/_01052026-2578,file,
Beverly,beverly,bus,2,city_council,minutes,2026,NO,0,0,0,,33,https://beverlyma.gov/AgendaCenter/ViewFile/Minutes/_01202026-2598,file,
Beverly,beverly,bus,2,city_council,minutes,2026,NO,0,0,0,,1,https://beverlyma.gov/AgendaCenter/ViewFile/Minutes/_02022026-2610,file,
Beverly,beverly,bus,2,city_council,minutes,2026,NO,0,0,0,,16,https://beverlyma.gov/AgendaCenter/ViewFile/Minutes/_02022026-2612,file,
Billerica,billerica,bus,5,,,,CONFIRMED,146,1,1,"1,2,3,4,5,6,7,8,9,10,11",11,http://www.town.billerica.ma.us/DocumentCenter/View/9578/Draft-Compliance-Guidelines-for-MBTA-Communities,file,
Billerica,billerica,bus,5,,,,PROBABLE,12,0,6,"1,4,5,6,7,9,27",27,https://billerica.gov/DocumentCenter/View/11175/MBTA-Communities--Kickoff-NMCOG-presentation-to-Billerica,file,
Billerica,billerica,bus,5,,,,PROBABLE,11,0,2,"1,2,3,4,6,7,10,13,16",17,https://billerica.gov/DocumentCenter/View/11270/NMCOG-present-MBTA-Communities-Billerica_08212023,file,
Billerica,billerica,bus,5,,,,PROBABLE,21,8,0,"1,3,5,6,7,8",8,https://billerica.gov/DocumentCenter/View/11543/PreAdoptionReviewApplicationforMBTACommunities_Submission_1175203117,file,
Billerica,billerica,bus,5,,,,TOPIC_ONLY,3,0,0,1,1,https://billerica.gov/DocumentCenter/View/11877/MBTA-Communities_Police_Response,file,
Billerica,billerica,bus,5,,,,NO,0,0,0,,1,https://billerica.gov/ImageRepository/Document?documentID=544,file,
Billerica,billerica,bus,5,,,,NO,0,0,0,,1,https://billerica.gov/ImageRepository/Document?documentID=546,file,
Billerica,billerica,bus,5,,,,NO,0,0,0,,1,https://billerica.gov/ImageRepository/Document?documentID=568,file,
Billerica,billerica,bus,5,,,,NO,0,480,0,,0,https://ma-billerica.civicplus.com/DocumentCenter/View/11636,file,
Billerica,billerica,bus,5,,,,PROBABLE,4,0,2,"2,3,14",14,https://ma-billerica.civicplus.com/DocumentCenter/View/11931,file,
Bourne,bourne,MBTA adjacent,5,,,,FETCH_FAIL,0,0,0,,0,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/uploads/mbta_community_zoning_guidelines_0.pdf,file,HTTPError
Bourne,bourne,MBTA adjacent,5,,,,FETCH_FAIL,0,0,0,,0,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/news/actionplanformbtacommunities_final_submission_1063081719.pdf,file,HTTPError
Bourne,bourne,MBTA adjacent,5,,,,FETCH_FAIL,0,0,0,,0,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/uploads/actionplanformbtacommunities_final_submission_1063081719.pdf,file,HTTPError
Bourne,bourne,MBTA adjacent,5,,,,FETCH_FAIL,0,0,0,,0,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/uploads/mbta_community_zoning_guidelines.pdf,file,HTTPError
Bourne,bourne,MBTA adjacent,5,,,,FETCH_FAIL,0,0,0,,0,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/uploads/mbta_community_zoning_guidelines_0.pdf,file,HTTPError
