municipality,year,verdict,signals,url,kind
Ashby,2025,RESULTS_FOUND,"heads=10,blanks=15,offices=10,tallies=1521,yr=True,pp=162",https://drive.google.com/uc?export=download&id=1Ilvq8PWi-rpG-5kxxqCYtGfI_ntzuMi2,annual_report
Ayer,2021,NO_RESULTS,"heads=0,blanks=0,offices=1,tallies=5,pp=9",https://www.ayer.ma.us/DocumentCenter/View/667/2021-Spring-Town-Meeting-Presentation-PDF,townmtg_election
Ayer,2023,RESULTS_FOUND,"heads=2,blanks=0,offices=5,tallies=67,pp=4",https://www.ayer.ma.us/DocumentCenter/View/4767/Summary-of-the-2023-Annual-Town-Meeting-Warrant---March-7-2023,townmtg_election
Becket,2021,RESULTS_FOUND,"heads=10,blanks=64,offices=9,tallies=1296",https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/becket_2020_town_report_for_web.pdf,annual_report
Becket,2025,RESULTS_FOUND,"heads=14,blanks=8,offices=8,tallies=1239",https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/becket_web_2024.pdf,annual_report
Berlin,2022,RESULTS_FOUND,"heads=10,blanks=53,offices=11,tallies=2539,yr=True,pp=110",https://townofberlin.com/DocumentCenter/View/1162/2022-Annual-Town-Report,annual_report
Berlin,2023,RESULTS_FOUND,"heads=6,blanks=10,offices=10,tallies=1973,yr=True,pp=96",https://townofberlin.com/DocumentCenter/View/1164/2023-Annual-Town-Report,annual_report
Bernardston,2021,FETCH_FAIL,"HTTPError,pp=0",http://townofbernardston.org/images/clerk/townmeetings/Minutes/FY22/ATM_2021_Town_Clerk_Meeting_Minutes_Official.pdf,townmtg_election
Bernardston,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=0",https://townofbernardston.org/town-clerk,election_page
Bernardston,2024,RESULTS_FOUND,"heads=11,blanks=0,offices=11,tallies=1399,yr=True,pp=171",https://townofbernardston.org/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf,annual_report
Blandford,2021,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=6,pp=54",https://townofblandford.com/wp-content/uploads/2022/05/annual-town-report-2020-2021.pdf,annual_report
Blandford,2022,RESULTS_FOUND,"heads=1,blanks=0,offices=10,tallies=468,pp=54",https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf,annual_report
Blandford,2023,RESULTS_FOUND,"heads=1,blanks=0,offices=10,tallies=468,yr=True,pp=54",https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf,annual_report
Blandford,2025,RESULTS_FOUND,"heads=4,blanks=9,offices=10,tallies=436,yr=True,pp=72",https://townofblandford.com/wp-content/uploads/2025/05/annual-town-report-2023-2024.pdf,annual_report
Bolton,2021,RESULTS_FOUND,"heads=4,blanks=0,offices=11,tallies=1889,yr=True,pp=125",https://www.bolton-ma.gov/DocumentCenter/View/405/2021-Annual-Town-Report,annual_report
Bolton,2022,RESULTS_FOUND,"heads=6,blanks=0,offices=11,tallies=1836,yr=True,pp=124",https://www.bolton-ma.gov/DocumentCenter/View/406/2022-Annual-Town-Report,annual_report
Bourne,2021,RESULTS_FOUND,"heads=5,blanks=76,offices=11,tallies=3734,yr=True,pp=275",https://www.bourne-ma.gov/DocumentCenter/View/3317/2021-Town-Report,annual_report
Bourne,2022,RESULTS_FOUND,"heads=3,blanks=0,offices=11,tallies=3450,yr=True,pp=228",https://www.bourne-ma.gov/DocumentCenter/View/3316/2022-Town-Report,annual_report
Bourne,2025,RESULTS_FOUND,"heads=9,blanks=61,offices=9,tallies=3089,yr=True,pp=263",https://www.bourne-ma.gov/DocumentCenter/View/11920,annual_report
Boylston,2021,FETCH_FAIL,"HTTPError,pp=0",https://boylston-ma.gov/services/clerk/Documents/Services/Clerk/Town Meetings/stm_12062021_minutes_0.pdf?t=202406101022130,townmtg_election
Boylston,2025,NO_RESULTS,"heads=0,blanks=0,offices=7,tallies=7,pp=0",https://boylston-ma.gov/services/clerk/index.php,election_page
Brewster,2025,RESULTS_FOUND,"heads=1,blanks=0,offices=3,tallies=15,yr=True,pp=1",http://www.brewster-ma.gov/sites/g/files/vyhlif16031/f/uploads/annual_town_election_2025_0.pdf,townmtg_election
Bridgewater,2022,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0",https://cms6.revize.com/revize/security/index.jsp?webspace=bridgewaterma&filename=/government/town_clerk/annual_town_reports.php,annual_report
Bridgewater,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0",https://cms6.revize.com/revize/security/index.jsp?webspace=bridgewaterma&filename=/government/town_clerk/annual_town_reports.php,annual_report
Bridgewater,2024,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0",https://cms6.revize.com/revize/security/index.jsp?webspace=bridgewaterma&filename=/government/town_clerk/annual_town_reports.php,annual_report
Bridgewater,2025,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0",https://cms6.revize.com/revize/security/index.jsp?webspace=bridgewaterma&filename=/government/town_clerk/annual_town_reports.php,annual_report
Brimfield,2021,RESULTS_FOUND,"heads=8,blanks=14,offices=8,tallies=747,yr=True,pp=160",https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/news/townreport2021.pdf,annual_report
Brimfield,2024,RESULTS_FOUND,"heads=1,blanks=0,offices=6,tallies=53",https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/brimfield_town_report_1_2.pdf,annual_report
Brimfield,2025,RESULTS_FOUND,"heads=1,blanks=0,offices=6,tallies=53",https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/brimfield_town_report_1_2.pdf,annual_report
Brookfield,2021,RESULTS_FOUND,"heads=5,blanks=0,offices=7,tallies=11,yr=False,pp=0",https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,election_page
Brookfield,2022,RESULTS_FOUND,"heads=2,blanks=0,offices=11,tallies=529,yr=True,pp=134",https://www.brookfieldma.us/wp-content/uploads/2026/01/brookfield_tr_22_web_cc_0.pdf,annual_report
Brookfield,2023,RESULTS_FOUND,"heads=3,blanks=0,offices=6,tallies=12,pp=1",https://www.brookfieldma.us/wp-content/uploads/2026/01/annual_town_election_info_to_publish-2023_0-1.pdf,townmtg_election
Brookfield,2024,RESULTS_FOUND,"heads=2,blanks=0,offices=7,tallies=9,pp=1",https://www.brookfieldma.us/wp-content/uploads/2026/01/annual_town_election_info_to_publish-2024_1.pdf,townmtg_election
Brookfield,2025,RESULTS_FOUND,"heads=5,blanks=0,offices=7,tallies=11,yr=False,pp=0",https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,election_page
Cambridge,2025,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=169,pp=13",https://www.cambridgema.gov/-/media/Files/publicworksdepartment/vehiclemaintenance/cleanfleetannualreport2025v71.pdf,annual_report
Carver,2021,RESULTS_FOUND,"heads=2,blanks=16,offices=9,tallies=1621",https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/1983_town_report.pdf,annual_report
Carver,2023,RESULTS_FOUND,"heads=3,blanks=11,offices=10,tallies=1598,yr=True,pp=148",https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2023_town_report.pdf,annual_report
Carver,2025,RESULTS_FOUND,"heads=2,blanks=16,offices=9,tallies=1621",https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/1983_town_report.pdf,annual_report
Charlemont,2022,RESULTS_FOUND,"heads=11,blanks=3,offices=10,tallies=2775,yr=True,pp=143",https://www.charlemont-ma.us/files/Town_Report_for_year_ending_December_312022.pdf,annual_report
Charlemont,2024,RESULTS_FOUND,"heads=7,blanks=13,offices=10,tallies=3231,yr=True,pp=136",https://charlemont-ma.us/news/newsfile_20171_Town_Report_2024.pdf,annual_report
Charlemont,2025,RESULTS_FOUND,"heads=5,blanks=12,offices=10,tallies=3247,yr=True,pp=143",https://charlemont-ma.us/news/newsfile_20242_Town_Report_Year_end_2025.pdf,annual_report
Cheshire,2021,RESULTS_FOUND,"heads=11,blanks=16,offices=11,tallies=1634,pp=80",https://storage.googleapis.com/juniper-media-library/56/2024/01/2021 Annual Town Report.pdf,annual_report
Cheshire,2023,RESULTS_FOUND,"heads=6,blanks=9,offices=10,tallies=1725,pp=88",https://storage.googleapis.com/juniper-media-library/56/2024/07/2023 Cheshire Town Report full.pdf,annual_report
Chester,2023,RESULTS_FOUND,"heads=1,blanks=0,offices=8,tallies=393,yr=True,pp=44",https://townofchester.net/wp-content/uploads/2024/05/Town-of-Chester-Annual-Report-FY22-23.pdf,annual_report
Chesterfield,2021,NO_RESULTS,"heads=0,blanks=0,offices=7,tallies=368,pp=100",https://www.townofchesterfieldma.com/sites/g/files/vyhlif7606/f/uploads/chesterfield_fy2021_town_report_final_4.13.22.pdf,annual_report
Chesterfield,2025,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=0",https://www.townofchesterfieldma.com/town-clerk,election_page
Chilmark,2022,RESULTS_FOUND,"heads=3,blanks=0,offices=7,tallies=168,pp=11",https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/chilmark_annual_town_meeting_and_election_warrant_april_25_and_27_2022_town_clerk_true_copy_attest.pdf,townmtg_election
Chilmark,2025,NO_RESULTS,"heads=0,blanks=0,offices=1,tallies=20,pp=4",https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/agendas/chilmark_planning_board_draft_minutes_12082025.pdf,minutes
Clarksburg,2022,RESULTS_FOUND,"heads=2,blanks=0,offices=6,tallies=152,yr=True,pp=24",https://clarksburgma.gov/specMedia/Clarksburg-Annual-Report-FY2022.pdf,annual_report
Clarksburg,2023,RESULTS_FOUND,"heads=1,blanks=0,offices=8,tallies=165,yr=True,pp=24",https://clarksburgma.gov/specMedia/Clarkburg-Annual-Report-FY2023.pdf,annual_report
Clarksburg,2025,RESULTS_FOUND,"heads=1,blanks=0,offices=3,tallies=202,yr=True,pp=35",https://clarksburgma.gov/specMedia/ANNUAL-TOWN-REPORT-FY-25_4-14-26.pdf,annual_report
Colrain,2021,NO_RESULTS,"heads=0,blanks=0,offices=10,tallies=576,pp=63",https://colrain-ma.gov/files/Colrain_2021_Annual_Report.pdf,annual_report
Conway,2021,RESULTS_FOUND,"heads=40,blanks=1,offices=8,tallies=81,yr=False,pp=0",https://conwayma.gov/p/104/Elections,election_page
Conway,2022,RESULTS_FOUND,"heads=40,blanks=1,offices=8,tallies=81,yr=False,pp=0",https://conwayma.gov/p/104/Elections,election_page
Conway,2023,RESULTS_FOUND,"heads=40,blanks=1,offices=8,tallies=81,yr=True,pp=0",https://conwayma.gov/p/104/Elections,election_page
Conway,2024,RESULTS_FOUND,"heads=25,blanks=0,offices=10,tallies=3461,yr=True,pp=148",https://conwayma.gov/files/2004_through_2024_Certified_Town_Meeting_Minutes.pdf,townmtg_election
Conway,2025,RESULTS_FOUND,"heads=40,blanks=1,offices=8,tallies=81,yr=True,pp=0",https://conwayma.gov/p/104/Elections,election_page
Cummington,2022,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=1",https://cummington-ma.gov/DDGAssets/Content/FY2022TownReport.pdf,annual_report
Cummington,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=1",https://cummington-ma.gov/PDFs/TownReportFY2023.pdf,annual_report
Cummington,2024,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=1",https://cummington-ma.gov/PDFs/TownReportFY2024.pdf,annual_report
Cummington,2025,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=1",https://cummington-ma.gov/DDGAssets/Board/WWildScAnnRpt2025Rev.pdf,annual_report
Dalton,2025,RESULTS_FOUND,"heads=3,blanks=1,offices=8,tallies=1120,yr=True,pp=82",https://dalton-ma.gov/wp-content/uploads/2025/05/2024-Annual-Report-FINAL.pdf,annual_report
Deerfield,2025,RESULTS_FOUND,"heads=2,blanks=0,offices=5,tallies=405,yr=True,pp=51",https://deerfieldma.us/DocumentCenter/View/2123,townmtg_election
Douglas,2025,MAYBE,"heads=2,blanks=0,offices=4,tallies=1,pp=1",https://douglas-ma.gov/DocumentCenter/View/4495,townmtg_election
Dracut,2021,MAYBE,"heads=1,blanks=1,offices=1,tallies=15",https://dracutma.gov/245/Town-Clerk,election_page
Dracut,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=12",https://dracutma.gov/ImageRepository/Document?documentID=568,townmtg_election
Dudley,2021,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=1,pp=0",https://dudleyma.gov/AgendaCenter/ViewFile/Agenda/_06152026-369,election_page
Dunstable,2023,RESULTS_FOUND,"heads=7,blanks=0,offices=8,tallies=14,pp=0",https://dunstable-ma.gov/town-clerk,election_page
East Bridgewater,2021,RESULTS_FOUND,"heads=24,blanks=10,offices=9,tallies=3242,yr=True,pp=210",https://ma-eastbridgewater.civicplus.com/DocumentCenter/View/1765/2021-Annual-Town-Report-PDF,annual_report
East Bridgewater,2022,RESULTS_FOUND,"heads=20,blanks=58,offices=10,tallies=3133,yr=True,pp=220",https://ma-eastbridgewater.civicplus.com/DocumentCenter/View/1766/2022-Annual-Town-Report-PDF,annual_report
East Bridgewater,2023,RESULTS_FOUND,"heads=20,blanks=8,offices=11,tallies=3329,yr=True,pp=225",https://ma-eastbridgewater.civicplus.com/DocumentCenter/View/1760/2023-Annual-Town-Report-PDF,annual_report
East Bridgewater,2025,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=18,pp=0",https://eastbridgewaterma.gov/DocumentCenter/View/1754/Town-Meeting---May-12-2025---Warrant---Final-Version-DOCX,townmtg_election
East Brookfield,2021,NO_RESULTS,"heads=1,blanks=0,offices=1,tallies=5,pp=0",https://eastbrookfieldma.us/1201/Town-Clerk,election_page
East Brookfield,2022,NO_RESULTS,"heads=1,blanks=0,offices=1,tallies=5,pp=0",https://eastbrookfieldma.us/1201/Town-Clerk,election_page
East Brookfield,2023,NO_RESULTS,"heads=1,blanks=0,offices=1,tallies=5,pp=0",https://eastbrookfieldma.us/1201/Town-Clerk,election_page
East Brookfield,2024,NO_RESULTS,"heads=1,blanks=0,offices=1,tallies=5,pp=0",https://eastbrookfieldma.us/1201/Town-Clerk,election_page
Edgartown,2022,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=0",https://edgartown-ma.us/departments/town-clerk,election_page
Edgartown,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=0",https://edgartown-ma.us/departments/town-clerk,election_page
Egremont,2021,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=70,pp=5",https://www.egremont-ma.gov/DocumentCenter/View/231,annual_report
Erving,2022,RESULTS_FOUND,"heads=1,blanks=0,offices=8,tallies=65,pp=9",https://erving-ma.gov/AgendaCenter/ViewFile/Minutes/_02022026-343,minutes
Erving,2023,NO_RESULTS,"heads=0,blanks=0,offices=1,tallies=7,pp=0",https://erving-ma.gov/255/Town-Clerk,election_page
Erving,2025,RESULTS_FOUND,"heads=34,blanks=16,offices=11,tallies=1493,yr=True,pp=136",https://www.erving-ma.gov/DocumentCenter/View/2973/2025-Annual-Town-Report-PDF,annual_report
Foxborough,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=28",https://foxboroughma.gov/UserFiles/Servers/Server_15207780/File/Departments/Conservation/Annual Report/AR18.pdf,annual_report
Georgetown,2021,FETCH_FAIL,"HTTPError,pp=0",https://georgetownma.gov/government/boards___commissions/planning_board/Document Center/Government/Boards & Commissions/Planning Board/MA Dept. of Energy Resources - Green/georgetown_gc-annual-report-2021.xlsx?t=202306300850250,annual_report
Georgetown,2022,FETCH_FAIL,"HTTPError,pp=0",https://www.georgetownma.gov/sites/g/files/vyhlif616/f/uploads/light_department_annual_report-2022.pdf,annual_report
Gill,2021,RESULTS_FOUND,"heads=7,blanks=19,offices=9,tallies=41,pp=0",https://gillmass.org/TownClerk,election_page
Gill,2022,RESULTS_FOUND,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0",https://gillmass.org/TownClerk,election_page
Gill,2023,RESULTS_FOUND,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0",https://gillmass.org/TownClerk,election_page
Gill,2024,RESULTS_FOUND,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0",https://gillmass.org/TownClerk,election_page
Gill,2025,RESULTS_FOUND,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0",https://gillmass.org/TownClerk,election_page
Gosnold,2021,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=4,pp=0",https://www.gosnold-ma.gov/222/Town-Clerk,election_page
Gosnold,2022,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=4,pp=0",https://www.gosnold-ma.gov/222/Town-Clerk,election_page
Gosnold,2023,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=4,pp=0",https://www.gosnold-ma.gov/222/Town-Clerk,election_page
Gosnold,2024,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=4,pp=0",https://www.gosnold-ma.gov/222/Town-Clerk,election_page
Gosnold,2025,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=4,pp=0",https://www.gosnold-ma.gov/222/Town-Clerk,election_page
Granby,2021,MAYBE,"heads=1,blanks=0,offices=7,tallies=1,pp=0",https://granby-ma.gov/townclerk,election_page
Granby,2022,MAYBE,"heads=1,blanks=0,offices=7,tallies=1,pp=0",https://granby-ma.gov/townclerk,election_page
Granby,2023,MAYBE,"heads=1,blanks=0,offices=7,tallies=1,pp=0",https://granby-ma.gov/townclerk,election_page
Granby,2024,MAYBE,"heads=1,blanks=0,offices=7,tallies=1,pp=0",https://granby-ma.gov/townclerk,election_page
Granby,2025,MAYBE,"heads=1,blanks=0,offices=7,tallies=1,pp=0",https://granby-ma.gov/townclerk,election_page
Great Barrington,2021,RESULTS_FOUND,"heads=1,blanks=0,offices=10,tallies=831,yr=True,pp=63",https://www.townofgb.org/DocumentCenter/View/924,annual_report
Great Barrington,2023,RESULTS_FOUND,"heads=3,blanks=0,offices=9,tallies=840,yr=True,pp=66",https://www.townofgb.org/DocumentCenter/View/923,annual_report
Great Barrington,2025,NO_RESULTS,"heads=0,blanks=0,offices=1,tallies=63,pp=18",https://townofgb.org/DocumentCenter/View/2448/SCAC-Annual-Report-2025,annual_report
Hadley,2025,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=0",https://hadleyma.org/town-clerk,election_page
Hampden,2021,RESULTS_FOUND,"heads=11,blanks=0,offices=4,tallies=25,pp=0",https://hampdenma.gov/274/Town-Meetings-Elections,election_page
Hampden,2022,RESULTS_FOUND,"heads=11,blanks=0,offices=4,tallies=25,yr=False,pp=0",https://hampdenma.gov/274/Town-Meetings-Elections,election_page
Hampden,2023,RESULTS_FOUND,"heads=11,blanks=0,offices=4,tallies=25,yr=False,pp=0",https://hampdenma.gov/274/Town-Meetings-Elections,election_page
Hampden,2024,RESULTS_FOUND,"heads=11,blanks=0,offices=4,tallies=25,pp=0",https://hampdenma.gov/274/Town-Meetings-Elections,election_page
Hancock,2022,RESULTS_FOUND,"heads=1,blanks=1,offices=10,tallies=531,yr=True,pp=44",https://town.hancock.ma.us/files/2023/04/OFFICIAL-TOWN-REPORT-FY2022.pdf,annual_report
Hancock,2023,RESULTS_FOUND,"heads=1,blanks=1,offices=10,tallies=531,yr=True,pp=44",https://town.hancock.ma.us/files/2023/04/OFFICIAL-TOWN-REPORT-FY2022.pdf,annual_report
Hancock,2024,RESULTS_FOUND,"heads=1,blanks=1,offices=9,tallies=506",https://town.hancock.ma.us/files/2023/04/OFFICIAL-TOWN-REPORT-FY2022.pdf,annual_report
Hanson,2025,NO_RESULTS,"heads=0,blanks=0,offices=1,tallies=41,pp=4",https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/minutes/january_22_2025_minutes.pdf,minutes
Hatfield,2021,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=1",https://townofhatfield.org/DocumentCenter/View/1083,townmtg_election
Hatfield,2022,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=15",https://townofhatfield.org/DocumentCenter/View/1133,townmtg_election
Hatfield,2023,NO_RESULTS,"heads=1,blanks=0,offices=1,tallies=11,pp=0",https://townofhatfield.org/217/Town-Clerk,election_page
Hatfield,2024,NO_RESULTS,"heads=1,blanks=0,offices=1,tallies=11,pp=0",https://townofhatfield.org/217/Town-Clerk,election_page
Hatfield,2025,MAYBE,"heads=1,blanks=0,offices=2,tallies=9",https://townofhatfield.org/DocumentCenter/View/3529/2026-Election-Calendar,election_page
Hawley,2023,RESULTS_FOUND,"heads=2,blanks=0,offices=10,tallies=1446,yr=False,pp=95",https://townofhawley.com/wp-content/uploads/2023/09/2012-Hawley-Annual-Town-Report.pdf,annual_report
Hawley,2025,RESULTS_FOUND,"heads=4,blanks=1,offices=11,tallies=1361,yr=True,pp=105",https://townofhawley.com/wp-content/uploads/2025/04/Hawley-Town-Report-2024.pdf,annual_report
Heath,2021,RESULTS_FOUND,"heads=1,blanks=0,offices=10,tallies=452,yr=True,pp=42",https://townofheath.org/news/newsfile_9143_2021HeathAnnualReport-web.pdf,annual_report
Heath,2022,RESULTS_FOUND,"heads=2,blanks=0,offices=8,tallies=16,pp=0",https://townofheath.org/p/19/Town-Clerk,election_page
Heath,2023,RESULTS_FOUND,"heads=4,blanks=0,offices=6,tallies=264",https://townofheath.org/news/newsfile_9198_Annual_Town_Meeting_Warrant_2023_Handout.pdf,election_doc
Heath,2024,RESULTS_FOUND,"heads=4,blanks=0,offices=6,tallies=30,yr=True,pp=2",https://townofheath.org/files/2024_Local_Town_Elections.pdf,townmtg_election
Heath,2025,NO_RESULTS,"heads=0,blanks=1,offices=10,tallies=490,pp=39",https://townofheath.org/files/2025_Annual_Town_Report_WEB_FINAL.pdf,annual_report
Hinsdale,2021,NO_RESULTS,"heads=0,blanks=0,offices=2,tallies=4,pp=0",https://hinsdalemass.com/1265/Town-Clerk,election_page
Hinsdale,2022,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0",https://hinsdalemass.com/ImageRepository/Document?documentID=36,annual_report
Hinsdale,2024,NO_RESULTS,"heads=0,blanks=0,offices=2,tallies=4,pp=0",https://hinsdalemass.com/1265/Town-Clerk,election_page
Hinsdale,2025,NO_RESULTS,"heads=0,blanks=0,offices=2,tallies=4,pp=0",https://hinsdalemass.com/1265/Town-Clerk,election_page
Holland,2022,RESULTS_FOUND,"heads=2,blanks=1,offices=9,tallies=37",https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/election_warrant_2022_003.pdf,election_doc
Hopedale,2021,RESULTS_FOUND,"heads=9,blanks=1,offices=10,tallies=1186",https://hopedale-ma.gov/DocumentCenter/View/955/FY20-Annual-Town-Report,annual_report
Hopedale,2025,RESULTS_FOUND,"heads=17,blanks=24,offices=9,tallies=1960",https://hopedale-ma.gov/DocumentCenter/View/957/FY24-Annual-Town-Report,annual_report
Hopkinton,2021,RESULTS_FOUND,"heads=23,blanks=63,offices=9,tallies=3526,yr=True,pp=310",https://ehop.org/wp/wp-content/uploads/2021/05/2020-ANNUAL-TOWN-REPORT-HOPKINTON-MA-WEB-sm.pdf,annual_report
Hopkinton,2023,RESULTS_FOUND,"heads=15,blanks=65,offices=9,tallies=2690,yr=True,pp=376",https://ehop.org/wp/wp-content/uploads/2023/04/Hopkinton-Annual-Town-Report-2022_sm.pdf,annual_report
Hubbardston,2021,MAYBE,"heads=24,blanks=0,offices=2,tallies=41,pp=0",https://hubbardstonma.us/275/ElectionTown-Meeting-Information,election_page
