municipality,year,priority,kind,url,title
Agawam,2023,1,annual_report,https://www.agawam.ma.us/DocumentCenter/View/2385/Year-Five-Annual-Report---July-1-2022---June-30-2023,
Agawam,2023,3,election_page,https://agawam.ma.us/231/Election-Information,Election Information
Agawam,2023,3,election_page,https://agawam.ma.us/DocumentCenter/View/3428,2025 Municipal Election Results
Alford,2022,3,election_page,https://www.townofalford.org/town-clerk,Town Clerk
Alford,2023,2,townmtg_election,https://www.townofalford.org/sites/g/files/vyhlif6926/f/events/3-14-2023sepcial_town_meeting_letter_size.pdf,
Alford,2023,2,townmtg_election,https://www.townofalford.org/sites/g/files/vyhlif6926/f/news/3-14-2023sepcial_town_meeting_letter_size.pdf,
Alford,2023,3,election_page,https://www.townofalford.org/town-clerk,Town Clerk
Alford,2024,2,townmtg_election,https://www.townofalford.org/sites/g/files/vyhlif6926/f/news/special_town_meeting_11-19-2024_final-letter.pdf,
Alford,2024,2,townmtg_election,https://www.townofalford.org/sites/g/files/vyhlif6926/f/news/town_meeting_fy2024_-final_letter_size.pdf,
Alford,2024,3,election_page,https://www.townofalford.org/town-clerk,Town Clerk
Aquinnah,2021,1,annual_report,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2021_aquinnah_annual_town_report.pdf,
Aquinnah,2021,4,minutes,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/minutes/11-09_11-16-2021_-_approved.pdf,
Aquinnah,2021,4,minutes,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/minutes/11-22-2021_-_approved.pdf,
Aquinnah,2021,4,minutes,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/minutes/11-30-2021_-_approved.pdf,
Aquinnah,2022,1,annual_report,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/aquinnah_town_report_2022.pdf,
Aquinnah,2022,4,minutes,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/minutes/01-18-2022_-_approved.pdf,
Aquinnah,2022,4,minutes,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/minutes/minutes_july_7_2022.pdf,
Aquinnah,2023,1,annual_report,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/events/2023_aquinnah_town_report.indd_.pdf,
Aquinnah,2023,2,townmtg_election,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/special_town_meeting_-_june_14_2023.pdf,
Ashby,2021,1,annual_report,https://drive.google.com/uc?export=download&id=1DUlVVGaRnzPpp3_KX17Bn6P_gvfs2zq0,Town Report 2021
Ashby,2021,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/,Town Clerk
Ashby,2021,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/town-clerk-dogs/,Dog/Kennel License
Ashby,2021,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/voter-registration/,Voter Registration
Ashby,2022,1,annual_report,https://drive.google.com/uc?export=download&id=17Fdp0LJbSLHJ7LOtSzAOUV0y2Rd-rHcC,Town Report 2022
Ashby,2022,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/,Town Clerk
Ashby,2022,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/town-clerk-dogs/,Dog/Kennel License
Ashby,2022,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/voter-registration/,Voter Registration
Ashby,2023,1,annual_report,https://drive.google.com/uc?export=download&id=1YRzQb19zslqov98vFBRoHiBmDaEP5ncP,Town Report 2023
Ashby,2023,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/,Town Clerk
Ashby,2023,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/town-clerk-dogs/,Dog/Kennel License
Ashby,2023,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/voter-registration/,Voter Registration
Ashby,2024,1,annual_report,https://drive.google.com/uc?export=download&id=1sHM1XgUU5A-7iVpDZEtTQQzwKQKcMUHY,Town Report 2024
Ashby,2024,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/,Town Clerk
Ashby,2024,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/town-clerk-dogs/,Dog/Kennel License
Ashby,2024,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/voter-registration/,Voter Registration
Ashby,2025,1,annual_report,https://drive.google.com/uc?export=download&id=1Ilvq8PWi-rpG-5kxxqCYtGfI_ntzuMi2,Town Report 2025
Ashby,2025,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/,Town Clerk
Ashby,2025,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/town-clerk-dogs/,Dog/Kennel License
Ashby,2025,3,election_page,https://ci.ashby.ma.us/departments/town-clerk/voter-registration/,Voter Registration
Ayer,2021,1,annual_report,https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2021_annual_report.pdf,
Ayer,2021,2,townmtg_election,https://www.ayer.ma.us/DocumentCenter/View/667/2021-Spring-Town-Meeting-Presentation-PDF,2021 Spring Town Meeting Presentation – Trust Bylaw Adoption
Ayer,2021,2,townmtg_election,https://www.ayer.ma.us/sites/ayerma/files/uploads/fy_2021_budget_town_meeting_calendar.pdf,
Ayer,2021,2,townmtg_election,https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/news/2021_fall_special_town_meeting_warrant_10-25-2021.pdf,
Ayer,2023,2,townmtg_election,https://www.ayer.ma.us/DocumentCenter/View/2100/Ayer-Town-Meeting---Solicitation-and-Information-Guidelines-Adopted-February-2023-PDF,Town Meeting and Special Town Meeting Guidelines for Informa
Ayer,2023,2,townmtg_election,https://www.ayer.ma.us/DocumentCenter/View/2306/Ayer-Town-Meeting--Solicitation-and-Information-Guidelines-Adopted-February-2023-PDF,Town Meeting and Special Town Meeting Guidelines for Informa
Ayer,2023,2,townmtg_election,https://www.ayer.ma.us/DocumentCenter/View/4767/Summary-of-the-2023-Annual-Town-Meeting-Warrant---March-7-2023,"Summary of the 2023 Annual Town Meeting Warrant - March 7, 2"
Ayer,2023,2,townmtg_election,https://www.ayer.ma.us/DocumentCenter/View/4768/Approved-Debt-Exclusion-Ballot-Questions-for-the-Annual-Town-Election-on-May-9-2023-002,Approved Debt Exclusion Ballot Questions for the Annual Town
Becket,2021,3,election_page,https://townofbecket.org/town-clerk,Town Clerk
Becket,2021,3,election_page,https://www.townofbecket.org/town-meeting/links/town-meeting-minutes-election-results,Town Meeting Minutes / Election Results
Becket,2021,4,minutes,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/minutes/2021-08-05_conservation_minutes.pdf,
Becket,2021,4,minutes,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/minutes/2021-10-26_conservation_minutes.pdf,
Becket,2025,3,election_page,https://townofbecket.org/town-clerk,Town Clerk
Becket,2025,3,election_page,https://www.townofbecket.org/town-meeting/links/town-meeting-minutes-election-results,Town Meeting Minutes / Election Results
Becket,2025,4,minutes,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/2025.09.20_stm_minutes_10092025144156.pdf,
Berlin,2022,1,annual_report,https://townofberlin.com/DocumentCenter/View/1162/2022-Annual-Town-Report,2022 Annual Town Report
Berlin,2022,1,annual_report,https://townofberlin.com/DocumentCenter/View/1296/Town-Report-2022,Town Report 2022
Berlin,2022,1,annual_report,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/pages/town_reports_2022_online_4-5-2023.pdf,
Berlin,2022,2,townmtg_election,https://townofberlin.com/DocumentCenter/View/1161/2022-Annual-Town-Meeting-warrant-and-Finance-Committee-report-with-Fiscal-Year-2023-budget,2022 Annual Town Meeting warrant and Finance Committee repor
Berlin,2023,1,annual_report,https://townofberlin.com/DocumentCenter/View/1164/2023-Annual-Town-Report,2023 Annual Town Report
Berlin,2023,1,annual_report,https://townofberlin.com/DocumentCenter/View/1298/Town-Report-2023,Town Report 2023
Berlin,2023,1,annual_report,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/pages/town_reports_2022_online_4-5-2023.pdf,
Berlin,2023,2,townmtg_election,https://townofberlin.com/DocumentCenter/View/1161/2022-Annual-Town-Meeting-warrant-and-Finance-Committee-report-with-Fiscal-Year-2023-budget,2022 Annual Town Meeting warrant and Finance Committee repor
Bernardston,2021,2,townmtg_election,http://townofbernardston.org/images/clerk/townmeetings/Minutes/FY22/ATM_2021_Town_Clerk_Meeting_Minutes_Official.pdf,
Bernardston,2021,2,townmtg_election,http://townofbernardston.org/images/clerk/townmeetings/Minutes/FY22/Special_Town_Meeting_Minutes_09_15_2021_Certified.pdf,
Bernardston,2021,2,townmtg_election,http://townofbernardston.org/images/clerk/townmeetings/Warrants/FY22/2021_09_15_STM_warrant.pdf,
Bernardston,2021,2,townmtg_election,http://townofbernardston.org/images/clerk/townmeetings/Warrants/FY22/ATM2021warrant_final-web.pdf,
Bernardston,2023,2,townmtg_election,http://www.townofbernardston.org/images/2023_04/Town_Election_Warrant_2023.pdf,
Bernardston,2023,3,election_page,https://townofbernardston.org/town-clerk,Town Clerk
Bernardston,2024,1,annual_report,https://townofbernardston.org/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf,2024 Annual Town Report
Bernardston,2024,3,election_page,https://townofbernardston.org/town-clerk,Town Clerk
Blandford,2021,1,annual_report,https://townofblandford.com/wp-content/uploads/2021/05/annual-town-report-2020-2021.pdf,
Blandford,2021,1,annual_report,https://townofblandford.com/wp-content/uploads/2022/05/annual-town-report-2020-2021.pdf,
Blandford,2021,1,annual_report,https://townofblandford.com/wp-content/uploads/2023/05/annual-town-report-2021-2022.pdf,
Blandford,2021,1,annual_report,https://townofblandford.gov/wp-content/uploads/2022/05/annual-town-report-2020-2021.pdf,
Blandford,2022,1,annual_report,https://townofblandford.com/wp-content/uploads/2022/05/annual-town-report-2020-2021.pdf,
Blandford,2022,1,annual_report,https://townofblandford.com/wp-content/uploads/2023/05/annual-town-report-2021-2022.pdf,
Blandford,2022,1,annual_report,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf,
Blandford,2022,1,annual_report,https://townofblandford.gov/wp-content/uploads/2022/05/annual-town-report-2020-2021.pdf,
Blandford,2023,1,annual_report,https://townofblandford.com/wp-content/uploads/2023/05/annual-town-report-2021-2022.pdf,
Blandford,2023,1,annual_report,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf,
Blandford,2023,1,annual_report,https://townofblandford.com/wp-content/uploads/2025/05/annual-town-report-2023-2024.pdf,
Blandford,2023,1,annual_report,https://townofblandford.com/wp-content/uploads/2025/06/annual-town-report-2023-2024.pdf,
Blandford,2025,1,annual_report,https://townofblandford.com/wp-content/uploads/2025/05/annual-town-report-2023-2024.pdf,
Blandford,2025,1,annual_report,https://townofblandford.com/wp-content/uploads/2025/06/annual-town-report-2023-2024.pdf,
Blandford,2025,1,annual_report,https://townofblandford.gov/wp-content/uploads/2025/06/annual-town-report-2023-2024.pdf,
Blandford,2025,1,annual_report,https://townofblandford.gov/wp-content/uploads/2026/05/Annual-Town-Report-2025-2026-web.pdf,Annual Report 2025-2026
Bolton,2021,1,annual_report,https://www.bolton-ma.gov/DocumentCenter/View/405/2021-Annual-Town-Report,2021 Annual Town Report
Bolton,2021,2,townmtg_election,https://ma-bolton.civicplus.com/DocumentCenter/View/3797,May 3rd 2021 Annual Town Meeting Warrant?bidId=
Bolton,2021,2,townmtg_election,https://ma-bolton.civicplus.com/DocumentCenter/View/3846,Annual Town Meeting Election Calendar   FY 2021?bidId=
Bolton,2021,2,townmtg_election,https://www.townofbolton.com/sites/g/files/vyhlif2836/f/uploads/rules_of_town_meeting_2021_final.pdf,
Bolton,2022,1,annual_report,https://www.bolton-ma.gov/DocumentCenter/View/406/2022-Annual-Town-Report,2022 Annual Town Report
Bolton,2022,1,annual_report,https://www.townofbolton.com/sites/g/files/vyhlif2836/f/uploads/annual_report_2022_proof.pdf,
Bolton,2022,2,townmtg_election,https://ma-bolton.civicplus.com/DocumentCenter/View/3792,May 2nd 2022 Annual Town Meeting Warrant?bidId=
Bolton,2022,2,townmtg_election,https://ma-bolton.civicplus.com/DocumentCenter/View/3796,Annual Town Meeting Election Calendar   FY 2022?bidId=
Bourne,2021,1,annual_report,https://www.bourne-ma.gov/DocumentCenter/View/3317/2021-Town-Report,2021 Town Report
Bourne,2021,2,townmtg_election,https://ma-bourne.civicplus.com/DocumentCenter/View/1513,Special Town Meeting 111521 Agenda 11 15 2021 PDF?bidId=
Bourne,2021,2,townmtg_election,https://ma-bourne.civicplus.com/DocumentCenter/View/3636,Board of Selectmens Agenda   112421   Town Meeting Review 2 
Bourne,2021,2,townmtg_election,https://townofbourne.com/ImageRepository/Document?documentID=1227,Town Info / Town Meeting Information / Archive Town Meetings
Bourne,2022,1,annual_report,https://www.bourne-ma.gov/DocumentCenter/View/3316/2022-Town-Report,2022 Town Report
Bourne,2022,2,townmtg_election,https://ma-bourne.civicplus.com/DocumentCenter/View/1518,Annual Town Meeting 050222 Agenda 05 02 2022 PDF?bidId=
Bourne,2022,2,townmtg_election,https://ma-bourne.civicplus.com/DocumentCenter/View/8295,102422 Board of Selectmen   Pre Special Town Meeting Minutes
Bourne,2022,2,townmtg_election,https://townofbourne.com/ImageRepository/Document?documentID=1226,Town Info / Town Meeting Information / Archive Town Meetings
Bourne,2025,1,annual_report,https://www.bourne-ma.gov/DocumentCenter/View/11920,2025 Town Report
Bourne,2025,2,townmtg_election,https://townofbourne.com/ImageRepository/Document?documentID=1221,Town Info / Town Meeting Information / Archive Town Meetings
Bourne,2025,2,townmtg_election,https://townofbourne.com/ImageRepository/Document?documentID=457,Town Info / Town Meeting Information Investigation of Police
Bourne,2025,2,townmtg_election,https://www.bourne-ma.gov/DocumentCenter/View/11508/October-20-2025---Town-Meeting-Transcript-PDF,"October 20, 2025 - Town Meeting Transcript (PDF)"
Boylston,2021,2,townmtg_election,https://boylston-ma.gov/services/clerk/Documents/Services/Clerk/Town Meetings/stm_12062021_minutes_0.pdf?t=202406101022130,"Special Town Meeting: December 6, 2021"
Boylston,2021,2,townmtg_election,https://boylston-ma.gov/services/clerk/Documents/Services/Clerk/Town Meetings/town_meeting_minutes_2021_2.pdf?t=202406101022130,"Annual Town Meeting: June 7, 2021"
Boylston,2021,2,townmtg_election,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/pages/town_meeting_minutes_2021_0.pdf,
Boylston,2021,2,townmtg_election,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2021_town_election_0.pdf,
Boylston,2025,2,townmtg_election,https://boylston-ma.gov/services/clerk/Documents/Government/Town Clerk/2025 Town Meeting Minutes.pdf?t=202508120946410,"Annual Town Meeting: May 5, 2025"
Boylston,2025,3,election_page,https://boylston-ma.gov/services/clerk/index.php,Town Clerk
Brewster,2025,2,townmtg_election,http://www.brewster-ma.gov/sites/g/files/vyhlif16031/f/uploads/annual_town_election_2025_0.pdf,
Bridgewater,2022,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/TR2022-DoneV4.pdf?t=202603021404220,2022 Annual Town Report
Bridgewater,2022,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Election Results and Specimen Ballots/04.23.2022 Annual Town Election Specimen Ballot.pdf?t=202512260928300,04/23/2022 Annual Town Election Specimen Ballot
Bridgewater,2022,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Election Results and Specimen Ballots/04.23.2022 Annual Town Election Warrant.pdf?t=202512260928300,04/23/2022 Annual Town Election Warrant
Bridgewater,2022,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Election Results and Specimen Ballots/2022 State Primary Warrant.pdf?t=202512260928310,09/6/2022 State Primary Warrant
Bridgewater,2023,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/TR2023-V6.pdf?t=202603021404520,2023 Annual Town Report
Bridgewater,2023,2,townmtg_election,https://bridgewaterma.org/DocumentCenter/View/5134/Annual-Town-Election-Warrant-4222023-signed,
Bridgewater,2023,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Campaign Reports/Vote Yes for Local Business - Alternative Compassion Services Dissolution Special Town Election 1.7.2023.pdf?t=202512260928370,Vote Yes for Local Business Alternative Compassion Services 
Bridgewater,2023,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Election Results and Specimen Ballots/ATE 4-22-2023 Results_202306021013297520.pdf?t=202512260928320,04/22/2023 Annual Town Election Results
Bridgewater,2024,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/Annual Report 2021_202412301218018656 with Edits_202412310912462492.pdf?t=202512260928320,2021 Annual Town Report
Bridgewater,2024,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/TR2024-V6.pdf?t=202605061331560,2024 Annual Town Report
Bridgewater,2024,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Campaign Reports/Tina Larson Town Election 4.27.2024 8 days preceding.pdf?t=202512260928360,"Tina Larson, Town Clerk Pre Election Report 4.27.2024"
Bridgewater,2024,2,townmtg_election,https://www.bridgewaterma.gov/government/town_clerk/elections/Documents/Government/Town Clerk/Elections/Election Results and Specimen Ballots/11052024 Specimen Ballot.pdf?t=202512260928300,11/05/2024 Presidential Election Specimen Ballot
Bridgewater,2025,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/2015_Town-Report_2018-final.pdf?t=202512260928310,2015 Annual Town Report
Bridgewater,2025,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/2017_Town-Report_final_with-financials_no-cover_202108101420598503.pdf?t=202512260928310,2017 Annual Town Report
Bridgewater,2025,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/Annual Report 2021_202412301218018656 with Edits_202412310912462492.pdf?t=202512260928320,2021 Annual Town Report
Bridgewater,2025,1,annual_report,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/Bridgewater_2018_Town-Report_Final_rev_online-copy.pdf?t=202512260928320,2018 Annual Town Report
Brimfield,2021,1,annual_report,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/news/townreport2021.pdf,
Brimfield,2021,1,annual_report,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/townreport2021.pdf,
Brimfield,2021,1,annual_report,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/uploads/townreport2021.pdf,
Brimfield,2021,3,election_page,https://brimfieldma.org/town-clerk,Town Clerk
Brimfield,2024,3,election_page,https://brimfieldma.org/town-clerk,Town Clerk
Brimfield,2024,3,election_page,https://www.brimfieldma.org/town-clerk/files/absentee-ballot-application,
Brimfield,2024,3,election_page,https://www.brimfieldma.org/town-clerk/pages/general-laws-zoning,General By-Laws & Zoning
Brimfield,2025,3,election_page,https://brimfieldma.org/town-clerk,Town Clerk
Brimfield,2025,3,election_page,https://www.brimfieldma.org/town-clerk/files/absentee-ballot-application,
Brimfield,2025,3,election_page,https://www.brimfieldma.org/town-clerk/pages/general-laws-zoning,General By-Laws & Zoning
Brookfield,2021,1,annual_report,https://www.brookfieldma.us/wp-content/uploads/2026/01/atr_2021.pdf,Annual Report – 2021
Brookfield,2021,3,election_page,https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,
Brookfield,2021,3,election_page,https://www.brookfieldma.us/departments/town-clerk/,Town Clerk
Brookfield,2021,3,election_page,https://www.brookfieldma.us/wp-content/uploads/2026/04/election_main.jpg,
Brookfield,2022,1,annual_report,https://www.brookfieldma.us/wp-content/uploads/2026/01/brookfield_tr_22_web_cc_0.pdf,Annual Report – 2022
Brookfield,2022,2,townmtg_election,https://www.brookfieldma.us/sites/g/files/vyhlif2871/f/uploads/annual_town_election_info_-2022.pdf,
Brookfield,2022,3,election_page,https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,
Brookfield,2022,3,election_page,https://www.brookfieldma.us/departments/town-clerk/,Town Clerk
Brookfield,2023,1,annual_report,https://www.brookfieldma.us/wp-content/uploads/2026/01/brookfield_tr_23_web_cc_1.pdf,Annual Report – 2023
Brookfield,2023,2,townmtg_election,https://www.brookfieldma.us/sites/g/files/vyhlif2871/f/uploads/annual_town_election_info_to_publish-2023_0.pdf,
Brookfield,2023,2,townmtg_election,https://www.brookfieldma.us/wp-content/uploads/2026/01/annual_town_election_info_to_publish-2023_0-1.pdf,Annual Town Election Notice 2023
Brookfield,2023,2,townmtg_election,https://www.brookfieldma.us/wp-content/uploads/2026/01/warrant_book_final_1.pdf,Annual Town Meeting Warrant 2023
Brookfield,2024,1,annual_report,https://www.brookfieldma.us/wp-content/uploads/2026/01/brookfield_tr_24_web_cc_for_website.pdf,Annual Report – 2024
Brookfield,2024,2,townmtg_election,https://www.brookfieldma.us/sites/g/files/vyhlif2871/f/uploads/annual_town_election_info_to_publish-2024_1.pdf,
Brookfield,2024,2,townmtg_election,https://www.brookfieldma.us/wp-content/uploads/2026/01/annual_town_election_info_to_publish-2024_1.pdf,Annual Town Election Notice 2024
Brookfield,2024,2,townmtg_election,https://www.brookfieldma.us/wp-content/uploads/2026/01/special_town_meeting_warrant-november_12_2024.pdf,Special Town Meeting Warrant (November 2024)
Brookfield,2025,1,annual_report,https://www.brookfieldma.us/wp-content/uploads/2026/05/Brookfield_2025_ATR_draft.pdf,Annual Town Report (Draft)
Brookfield,2025,3,election_page,https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,
Brookfield,2025,3,election_page,https://www.brookfieldma.us/departments/town-clerk/,Town Clerk
Brookfield,2025,3,election_page,https://www.brookfieldma.us/wp-content/uploads/2026/04/election_main.jpg,
Cambridge,2025,1,annual_report,https://www.cambridgema.gov/-/media/Files/publicworksdepartment/vehiclemaintenance/cleanfleetannualreport2025v71.pdf,
Cambridge,2025,1,annual_report,https://www.cambridgepublichealth.org/wp-content/uploads/2026/02/Cambridge-Public-Health-Department-Annual-Report-Fiscal-Year-2025-1.pdf,"Cambridge Public Health Department Annual Report, Fiscal Yea"
Cambridge,2025,3,election_page,https://cambridgema.gov/Departments/electioncommission,Election Commission
Cambridge,2025,3,election_page,https://cambridgema.gov/Services/absenteevoting,Absentee Voting
Carver,2021,1,annual_report,https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2021_town_report.pdf,
Carver,2021,2,townmtg_election,https://www.carverma.gov/sites/g/files/vyhlif4221/f/minutes/2021_annual_town_meeting_minutespart1.pdf,
Carver,2023,1,annual_report,https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2023_town_report.pdf,
Carver,2023,4,minutes,https://www.carverma.gov/sites/g/files/vyhlif4221/f/minutes/2023_rec_mins.pdf,
Carver,2023,4,minutes,https://www.carverma.gov/sites/g/files/vyhlif4221/f/minutes/april_4_2023_special_meeting.pdf,
Carver,2023,4,minutes,https://www.carverma.gov/sites/g/files/vyhlif4221/f/minutes/january_11_2023.pdf,
Carver,2025,4,minutes,https://www.carverma.gov/sites/g/files/vyhlif4221/f/minutes/ces_school_council_minutes_1_15_2025.pdf,
Charlemont,2022,1,annual_report,https://www.charlemont-ma.us/files/Town_Report_for_year_ending_December_312022.pdf,
Charlemont,2022,2,townmtg_election,https://charlemont-ma.us/files/2022_Town_Meeting_Article_Handout.pdf,
Charlemont,2022,3,election_page,https://charlemont-ma.us/f/0/1028/Town-Clerk,Town Clerk
