municipality,community_type,governing_body,deadline_year,meeting_body,meeting_date,article_number,outcome,is_terminal,vote_yes,vote_no,vote_abstain,threshold_required,threshold_met,motion_snippet,doc_url,doc_page,evidence_quote
Cohasset,commuter rail,Select Board,2024,town_meeting,2024-06-03,20,adopted,True,-1,-1,0,majority,True,Adoption of proposed 3A Multi-Family Overlay District (Article 20) at Annual Town Meeting,https://www.cohassetma.gov/706/MBTA-Communities-Overlay-District-Inform,1,"June 3rd, 2024 - Annual Town Meeting. The proposed overlay district, Article 20, was passed by a majority vote."
Dover,MBTA adjacent,Select Board,2024,town_meeting,2025-09-29,,adopted,True,250,29,0,2/3,True,Warrant Article to adopt MBTA Communities Act zoning bylaw allowing multi-family housing by right in County Court - Tisdale Drive overlay district,https://doverma.gov/675/MBTA-Communities-Act,1,"At the Special Town Meeting, the Warrant Article passed 250-29, so Dover will adopt the proposed update to the zoning bylaw that would allow multi-family housing by right in a specific overlay district location in Town, in compliance with the MBTA Communities Act Requirements. (section 3A, of MGL c. 40A)"
Dracut,MBTA adjacent,Select Board,2024,town_meeting,2024-11-01,,rejected,False,-1,-1,0,2/3,False,Vote on proposed MBTA Communities compliant zoning bylaw and map (first attempt),https://dracutma.gov/DocumentCenter/View/5564/MBTA-Communities-Act-Frequently-Asked-Questions-2-26-2026-PDF,1,A proposal was rejected by voters at Town Meeting in November of 2024.
Dracut,MBTA adjacent,Select Board,2024,town_meeting,2025-06-01,,rejected,False,-1,-1,0,2/3,False,Vote on amended MBTA Communities compliant zoning proposal (second attempt),https://dracutma.gov/DocumentCenter/View/5564/MBTA-Communities-Act-Frequently-Asked-Questions-2-26-2026-PDF,1,A request to consider another option was rejected by Town Meeting in June 2025.
Dracut,MBTA adjacent,Select Board,2024,town_meeting,2024-11-01,,rejected,False,-1,-1,0,2/3,False,Vote on proposed MBTA Communities compliant zoning bylaw and map (first attempt),https://dracutma.gov/DocumentCenter/View/5565/MBTA-Communities-Act-Community-Input-Session-Slides-2-26-2026-PDF,3,A proposal for compliant Zoning Bylaw and Map was rejected by voters at Town Meeting in November of 2024.
Dracut,MBTA adjacent,Select Board,2024,town_meeting,2025-06-01,,rejected,False,-1,-1,0,2/3,False,Vote on amended MBTA Communities zoning proposal (second attempt),https://dracutma.gov/DocumentCenter/View/5565/MBTA-Communities-Act-Community-Input-Session-Slides-2-26-2026-PDF,3,A request to consider an amended proposal was rejected by Town Meeting in June of 2025.
Dracut,MBTA adjacent,Select Board,2024,other,2026-06-11,,recommended,False,-1,-1,-1,,False,Zoning Bylaw Review Committee voted to recommend the Compliant District option to the Board of Selectmen,https://dracutma.gov/836/MBTA-Communities-Zoning,1,"On June 11, 2026 the Zoning Bylaw Review Committee voted to recommend the Compliant District option shown below to the Board of Selectmen for consideration."
Gloucester,commuter rail,City Council,2024,planning_board,2024-07-25,,recommended,False,-1,0,0,majority,True,Planning Board voted unanimously to move forward with draft MBTA Communities zoning compliance scenario,https://gloucester-ma.gov/1250/Past-MBTA-Communities-Meetings-Presentat,1,After discussion the Planning Board voted unanimously to move forward with the draft scenario and directed RKG/Innes Associates to draft zoning text to compliment the scenario to develop a zoning amendment.
Gloucester,commuter rail,City Council,2024,city_council,2024-10-01,,adopted,True,-1,-1,-1,,True,City Council took final action to adopt compliant MBTA Communities Multi-Family Overlay District Zoning Ordinance,https://gloucester-ma.gov/1250/Past-MBTA-Communities-Meetings-Presentat,1,"The City Council and Planning Board held joint public hearing on September 11, 2024 and September 26, 2024 and took final action to adopt compliant zoning on October 1, 2024"
Gloucester,commuter rail,City Council,2024,city_council,2024-10-01,,adopted,True,-1,-1,0,,True,City Council took final action to adopt compliant Multi-Family Overlay District zoning ordinance (Section 5.30) to comply with MGL Chapter 40A Section 3A,https://www.gloucester-ma.gov/1250/State-40A-3A-MBTA-Communities-Informatio,1,"The City Council and Planning Board held joint public hearing on September 11, 2024 and September 26, 2024 and took final action to adopt compliant zoning on October 1, 2024"
Gloucester,commuter rail,City Council,2024,planning_board,2024-08-08,,recommended,False,6,0,0,majority,True,Planning Board voted to initiate zoning amendments to permit as-of-right multi-family uses in compliance with MGL Chapter 40A Section 3A via new Section 5.30 Multi-family Overlay District (MFOD),https://www.gloucester-ma.gov/DocumentCenter/View/10499/PB-Initiation-of-40A-3A-MBTA-Communities-Compliant-Zoning-8-9-2024,1,"in accordance with Section 1.11.2 (a) the Planning Board voted six (6) in favor, zero (0) to initiate amendments to the zoning ordinance to permit as of right multi-family uses in compliance with MGL Chapter 40A Section 3A by: deleting the existing Section 5.30 inserting a new Section 5.30 Multi-family Overlay District (MFOD)"
Harvard,MBTA adjacent,Select Board,2024,town_meeting,2024-04-06,22,adopted,True,209,60,0,2/3,True,Amend Chapter 125 Protective Bylaw by adding Section 125-60 MBTA Communities Multi-Family Overlay District and amending the Zoning Map,https://www.harvard-ma.gov/DocumentCenter/View/1563/ATM-Minutes---April-6-2024-PDF,19,"Vote on Article 22, Main Motion: Passed by Two-Thirds Majority (209 In-Favor, 60 Opposed)"
Hingham,bus,Select Board,2025,planning_board,2024-03-18,GGG,recommended,False,-1,-1,0,majority,True,Planning Board voted to recommend Town Meeting adopt MBTA Communities Multifamily Housing zoning article (Article GGG/34) as revised through public hearing process,https://hingham-ma.gov/1013/MBTA-Communities,1,"The Planning Board voted on March 18, 2024 to recommend that Town Meeting amend the Zoning By-Law by adopting the ""MBTA Communities Multifamily Housing"" zoning article (GGG/34), as revised through the public hearing process."
Holliston,MBTA adjacent,Select Board,2024,town_meeting,2024-10-21,9,adopted,False,-1,-1,0,majority,True,"Motion to amend Article 9 to remove Map 14, Block 3, Lots 154 A-Z from subdistrict 1",https://www.townofholliston.us/DocumentCenter/View/9711,6,VOTE: Motion to Amend passed by voice call vote.
Holliston,MBTA adjacent,Select Board,2024,town_meeting,2024-10-21,9,adopted,False,-1,-1,0,majority,True,Second motion to amend Article 9 to change 88 acres to 76 acres and update subdistrict 1 parcel description,https://www.townofholliston.us/DocumentCenter/View/9711,7,VOTE: Motion to Amend unanimously passed by voice call vote.
Holliston,MBTA adjacent,Select Board,2024,town_meeting,2024-10-21,9,adopted,True,-1,-1,0,majority,True,Adopt MBTA 3A Zoning – Overlay District (MCMOD) amending Zoning By-Laws by adding Section V-I as amended,https://www.townofholliston.us/DocumentCenter/View/9711,7,VOTE: Unanimously passed by voice vote to accept Article 9 as amended.
Holliston,MBTA adjacent,Select Board,2024,town_meeting,2024-10-21,10,adopted,True,-1,-1,0,majority,True,"Adopt MBTA 3A Zoning – By-Law Consistency amendments to Zoning By-Laws consistent with MGL Chapter 40A, Section 3A MCMOD",https://www.townofholliston.us/DocumentCenter/View/9711,9,VOTE: Unanimously passed by voice call vote to approve Article 10 as stated in the motion.
Kingston,commuter rail,Select Board,2024,town_meeting,2024-11-19,1,adopted,True,193,167,0,majority,True,Adopt MBTA Communities Multi-family Overlay District (MCMOD) by amending Kingston Zoning Bylaws to add new Section 6.9 and amend the Official Zoning Map,https://kingstonma.gov/DocumentCenter/View/5637,14,** With a hand counted vote of 193 in favor and 167 opposed the motion carried **
Lexington,bus,Select Board,2025,town_meeting,2023-04-12,34,adopted,True,-1,-1,-1,2/3,True,Adopt Village & Multi-Family Overlay Districts (Article 34) to comply with MBTA Communities Sec. 3A,https://lexingtonma.gov/1496/MBTA-Communities-Zoning,1,"Overlay District Zoning, Adopted by Annual Town Meeting on April 12, 2023 to comply with MBTA Communities Sec. 3a"
Lexington,bus,Select Board,2025,town_meeting,2025-03-17,,adopted,True,-1,-1,-1,2/3,True,Amend Zoning Bylaw Section 7.5 and Zoning Map at Special Town Meeting to comply with MBTA Communities Sec. 3A,https://lexingtonma.gov/1496/MBTA-Communities-Zoning,1,"Zoning Bylaw Amended Section 7.5 and Zoning Map at Special Town Meeting, March 17, 2025"
Lexington,bus,Select Board,2025,town_meeting,2025-04-14,,adopted,True,-1,-1,-1,2/3,True,Amend Zoning Bylaw Section 7.5 at Annual Town Meeting,https://lexingtonma.gov/1496/MBTA-Communities-Zoning,1,"Zoning Bylaw Amended Section 7.5 at Annual Town Meeting, April 14, 2025"
Lincoln,bus,Select Board,2025,town_meeting,2024-03-23,,adopted,True,-1,-1,-1,majority,True,"Adopt Section 3A MBTA Communities multifamily zoning bylaw (Section 12.9) with overlay districts for Lincoln Woods, Lincoln Road/Lewis Street, Codman Road, and Village Center subdistricts",https://lincolntown.org/DocumentCenter/View/85829/DistrictComplianceApplicationforMBTACommunities_Submission_1216484705,3,"On the floor of Town Meeting (March 23, 2024), two amendments were made: 1. Max Density for the Village Center District (MMU) was reduced from 25 to 15 u/a 2. Lincoln Woods subdistrict max density was increased from 8 to 10 u/a 3. Lincoln Road/Lewis Street subdistrict max density was increased from 11 to 12 u/a. ... 6.7 Were changes passed using a Simple Majority voting threshold under c. 40A Section 5? Yes"
Lincoln,bus,Select Board,2025,town_meeting,2024-03-23,,adopted,True,-1,-1,-1,majority,True,"Adopt Section 3A MBTA Communities multifamily zoning bylaw (Section 12.9) with overlay districts for Lincoln Woods, Lincoln Road/Lewis Street, Codman Road, and Village Center subdistricts",https://lincolntown.org/DocumentCenter/View/85832/DistrictComplianceApplicationforMBTACommunities_Submission_1216484705pdf,3,"On the floor of Town Meeting (March 23, 2024), two amendments were made: 1. Max Density for the Village Center District (MMU) was reduced from 25 to 15 u/a ... 6.7 Were changes passed using a Simple Majority voting threshold under c. 40A Section 5? Yes"
Littleton,commuter rail,Select Board,2024,select_board,2024-04-08,,recommended,False,-1,-1,-1,majority,True,Select Board and Finance Committee vote to recommend MBTA Communities article,https://littletonma.org/DocumentCenter/View/7631,4,"April 8, 2024: Selectboard and Finance Committee vote to recommend MBTA Communities article"
Mansfield,commuter rail,Select Board,2024,planning_board,2024-04-24,,recommended,False,-1,0,0,majority,True,Planning Board unanimously voted to recommend approval of Zoning Amendments (MSROD expansion / MBTA 3A compliance) for Annual Town Meeting,https://mansfieldma.com/705/MGL-Chapter-40A-Section-3A-3A-MBTA-Zonin,1,"On April 24, 2024, the Planning Board unanimously voted to recommend approval of Zoning Amendments for Annual Town Meeting."
Mansfield,commuter rail,Select Board,2024,town_meeting,2023-06-15,13,adopted,True,-1,-1,-1,2/3,True,Article 13 Zoning Bylaw Section 230-5.12 (MSROD / MBTA 3A zoning initiative) voted at Annual Town Meeting,https://mansfieldma.com/705/MGL-Chapter-40A-Section-3A-3A-MBTA-Zonin,1,Article 13 Zoning bylaw Section 230-5.12 Voted at ATM 6/15/23 PASSED (approved by the Attorney General 9/20/23)
Maynard,MBTA adjacent,Select Board,2024,town_meeting,2024-05-20,28,adopted,True,120,5,0,2/3,True,Article 28 Overlay District and MBTA Communities — adopt Powder Mill Overlay District (PMOD-A designated MBTA 3A compliant sub-district) zoning bylaw amendment,https://townofmaynard-ma.gov/DocumentCenter/View/3037/Official-Minutes-of-ATM-5-20-2024,47,MOTION PASSED WITH A VOTE OF 120-YES / 5-NO
Millbury,MBTA adjacent,Select Board,2024,planning_board,,28,unknown,False,-1,-1,0,,False,Planning Board recommendation on Article 28 (Multi-Family Housing Overlay District for MBTA Communities compliance) - oral report to be given at town meeting,https://millburyma.gov/DocumentCenter/View/373/Annual-Town-Meeting-Warrant,24,Recommendation: The Planning Board will provide an oral report of its public hearing recommendation at town meeting. Recommendation: The Finance Committee defers its recommendation on Article 28 to the Planning Board.
Millbury,MBTA adjacent,Select Board,2024,planning_board,,29,unknown,False,-1,-1,0,,False,"Planning Board and Finance Committee positions on Article 29 (Multi-Family Housing Overlay District - Board of Selectmen proposal, alternate district locations for MBTA Communities compliance)",https://millburyma.gov/DocumentCenter/View/373/Annual-Town-Meeting-Warrant,25,"The Board of Selectmen and Planning Board each submitted a proposed zoning amendment for an MBTA Communities-compliant district. Both proposals have the same text, but have different district locations. This article represents the Planning Board's proposal."
Millbury,MBTA adjacent,Select Board,2024,town_meeting,2024-11-09,8,unknown,False,-1,-1,0,majority,False,"Article 8: Amend Zoning Bylaw and Map to add Multi-Family Overlay District (MBTA Communities compliance), Special Town Meeting November 9 2024",https://millburyma.gov/DocumentCenter/View/385/Signed-Warrant,12,"ARTICLE 8: To see if the town will vote to amend the Millbury Zoning Bylaw and Millbury Zoning Map as follows, or take any other action thereon. (Planning Board) (Required vote: Simple Majority)"
Milton,subway or light rail,Select Board,2023,other,,1,referred,False,-1,-1,0,,False,Warrant Committee recommends referring Article 1 (MBTA Communities Multi-family Overlay District) back to Select Board for further study,https://www.miltonma.gov/DocumentCenter/View/6120,27,Submitted by the Select Board RECOMMENDED that the Town vote refer the proposed zoning bylaw back to the Select Board for further study.
Milton,subway or light rail,Select Board,2023,other,,1,referred,False,-1,-1,0,,False,Warrant Committee recommends referring Article 1 (MBTA Communities Multi-family Overlay District) back to Select Board for further study,https://www.townofmilton.org/DocumentCenter/View/6120/MBTA-Communities-Warrant-Articles-1-and-2,27,Submitted by the Select Board RECOMMENDED that the Town vote refer the proposed zoning bylaw back to the Select Board for further study.
Needham,bus,Select Board,2025,town_meeting,2025-01-14,,adopted,True,-1,-1,0,2/3,True,"Needham voters repealed the Multi-family Overlay District zoning adopted at the October 21, 2024 Special Town Meeting",https://needhamma.gov/DocumentCenter/View/47397,1,"On January 14, 2025, Needham voters repealed the Multi-family Overlay District zoning adopted at the October 21, 2024 Special Town Meeting."
Needham,bus,Select Board,2025,planning_board,2025-01-21,,recommended,False,-1,-1,0,majority,True,Planning Board voted to support submission of action plan advancing the Base Compliance Plan to the 2025 Annual Town Meeting,https://needhamma.gov/DocumentCenter/View/47397,1,"On January 21, both the Planning Board and Select Board voted to support the submission of an action plan, consisting of advancing the Base Compliance Plan to the 2025 Annual Town Meeting in May."
Needham,bus,Select Board,2025,select_board,2025-01-21,,recommended,False,-1,-1,0,majority,True,Select Board voted to support submission of action plan advancing the Base Compliance Plan to the 2025 Annual Town Meeting,https://needhamma.gov/DocumentCenter/View/47397,1,"On January 21, both the Planning Board and Select Board voted to support the submission of an action plan, consisting of advancing the Base Compliance Plan to the 2025 Annual Town Meeting in May."
Newbury,commuter rail,Select Board,2024,town_meeting,2024-04-30,14,adopted,True,234,80,0,2/3,True,"Adopt MBTA Communities Multi-Family Zoning Overlay District (Article #14, 2024 Annual Town Meeting)",https://townofnewbury.org/896/MBTA-Communities-Multi-Family-Zoning-Ove,1,"The Article was approved by Town Meeting voters, with 234 ""yes"" votes and 80 ""no"" votes."
Newbury,commuter rail,Select Board,2024,town_meeting,2024-04-30,14,adopted,True,234,80,0,2/3,True,"Adopt MBTA Communities Multi-Family Zoning Overlay District (Article #14, 2024 Annual Town Meeting)",https://www.newburyma.gov/896/MBTA-Communities-Multi-Family-Zoning-Ove,1,"The Article was approved by Town Meeting voters, with 234 ""yes"" votes and 80 ""no"" votes."
Northborough,MBTA adjacent,Select Board,2024,town_meeting,2024-04-22,49,adopted,True,-1,-1,0,2/3,True,Amend Northborough Zoning Map to superimpose the Multifamily Development Overlay District (MDOD) to comply with MGL c. 40A § 3A,https://www.town.northborough.ma.us/sites/g/files/vyhlif12221/f/uploads/town_meeting_minutes_04.22.2024.pdf,43,"MOTION ARTICLE 49: Zoning Map - Multi-family Development Overlay District... Bill Pierce, Planning Board, moved the Town vote to amend the Northborough Zoning Map to superimpose the 'Multifamily Development Overlay District (MDOD)' consisting of subdistricts 'Southwest Connector Multifamily Development Sub-District' and 'Downtown Multifamily Development Sub-District' on land as shown on the map entitled 'Multifamily Development Overlay District Map,' as set forth in the Warrant. ... Moderator declared the motion as amended carried by majority vote"
North Reading,MBTA adjacent,Select Board,2024,town_meeting,2024-06-10,,referred,False,-1,-1,0,,False,3A compliance zoning articles referred to committee (CPC) for further discussion,https://northreadingma.gov/377/MBTA-Communities3A-Compliance,1,"On that date, Town Meeting voted to refer the matter to committee (meaning to the CPC), for further discussion, and with a commitment to bring the amendments back to October TM for consideration."
North Reading,MBTA adjacent,Select Board,2024,town_meeting,2024-10-07,,rejected,False,-1,-1,0,2/3,False,3A compliance zoning articles did not pass at October Town Meeting,https://northreadingma.gov/377/MBTA-Communities3A-Compliance,1,"The zoning articles for 3A compliance did not pass at the October 7, 2024, Town Meeting."
North Reading,MBTA adjacent,Select Board,2024,town_meeting,2025-06-09,,adopted,True,-1,-1,0,2/3,True,"Town Meeting approved all three 3A compliance bylaws (Lowell Road Multi-Family District, Site Plan Review Language, Zoning Map Effective Date)",https://northreadingma.gov/377/MBTA-Communities3A-Compliance,1,"The following Citizens' Petitions addressing 3A compliance were submitted for inclusion in the June 9, 2025, Town Meeting warrant: Lowell Road Multi-Family District; Site Plan Review Language; Zoning Map Effective Date. Town Meeting approved all three bylaws. The Attorney General's Office issued its approval of the bylaws on September 22, 2025. The Town's 3A compliance was subsequently reviewed by EOHLC, and a compliance letter was issued on October 3, 2025."
Norwood,bus,Select Board,2025,planning_board,2024-01-08,,recommended,False,-1,-1,0,majority,True,"Planning Board voted to submit MBTA Communities zoning articles to Board of Selectmen for March 21, 2024 Special Town Meeting warrant",https://www.norwoodma.gov/departments/planning_and_economic_development/mbta_community_initiative.php,1,"On January 8, 2024 the Planning Board held a final public work session on the draft bylaw and voted to submit the zoning to the Board of Selectmen for placement on the March, 21, 2024 Special Town Meeting warrant."
Plymouth,commuter rail,Select Board,2024,other,2024-01-31,18,recommended,False,12,0,0,majority,True,Warrant Advisory Committee recommends Article 18 (MBTA Communities Multifamily Overlay District) to Town Meeting,https://www.plymouth-ma.gov/DocumentCenter/View/5337,25,"Mr. Lalley motioned to recommend Article 18 to Town Meeting. Mr. Howard second. Mr. Lalley wanted to recognize the great work on this. Motion carried unanimously, 12-0-0."
Plympton,MBTA adjacent,Select Board,2024,select_board,,19,recommended,False,3,0,0,majority,True,Select Board recommends Article 19 (Residential Development Overlay District / RDOD to meet M.G.L. c. 40A § 3A),https://town.plympton.ma.us/DocumentCenter/View/669/Minutes-for-Annual-Town-Meeting,16,"Planning Board
Recommended by BOS (3-0)"
Plympton,MBTA adjacent,Select Board,2024,town_meeting,2025-05-14,19,adopted,True,-1,-1,-1,2/3,True,Town Meeting votes to adopt Residential Development Overlay District (RDOD) to comply with M.G.L. c. 40A § 3A,https://town.plympton.ma.us/DocumentCenter/View/669/Minutes-for-Annual-Town-Meeting,16,Pass majority
Rehoboth,MBTA adjacent,Select Board,2024,planning_board,,8,recommended,False,-1,-1,-1,,False,Planning Board recommendation on Article 8 – Amend Chapter 270 Zoning Bylaw to create new Multi-Family Overlay District (MOD) under Section 3A,https://www.rehobothma.gov/sites/g/files/vyhlif4911/f/uploads/warrant_10.7.25-final_copy_to_printer.pdf,14,"___Approved ___Disapproved
Planning Board Recommends:  At Town Meeting"
Seekonk,MBTA adjacent,Select Board,2024,town_meeting,2024-11-18,11,adopted,True,156,59,4,2/3,True,"Amend Section 6.6 Multifamily Development Overlay District of the Zoning Bylaws to comply with G.L. c. 40A, §3A and update the Town's Zoning Map",https://www.seekonk-ma.gov/DocumentCenter/View/3102,13,"Action on Motion: Motion passed (156Y, 59N, 4A)"
Shrewsbury,commuter rail,Select Board,2024,representative_town_meeting,2024-11-18,,adopted,False,-1,-1,-1,majority,True,Adoption of Transit Oriented Development (TOD) Overlay District (MBTA Communities Zoning) at Special Town Meeting,https://shrewsburyma.gov/DocumentCenter/View/17856/Press-Release-EOHLC-Issues-Determination-on--Shrewsburys-Compliance-with-MBTA-Communities-Zoning,1,"the Transit Oriented Development (TOD) Overlay District, or MBTA Communities Zoning, passed at the November 18, 2024, Special Town Meeting meets the ""substantive zoning criteria"" of the State's MBTA Communities Zoning Bylaw (Section 3A and 760 CMR 72.00)."
Sterling,MBTA adjacent,Select Board,2024,select_board,2025-11-13,1,recommended,False,-1,-1,-1,,True,Select Board recommendation on Article 1: Multi-Family Overlay District (MFOD),https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,6,Select Board recommended approval
Sterling,MBTA adjacent,Select Board,2024,planning_board,2025-11-13,1,recommended,False,-1,-1,-1,,True,Planning Board recommendation on Article 1: Multi-Family Overlay District (MFOD),https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,6,Planning Board Recommended approval
Sterling,MBTA adjacent,Select Board,2024,other,2025-11-13,1,not_recommended,False,3,4,0,majority,False,Finance Committee recommendation on Article 1: Multi-Family Overlay District (MFOD),https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,6,Finance Committee did not recommend 4-3
Sterling,MBTA adjacent,Select Board,2024,town_meeting,2025-11-13,1,adopted,True,-1,-1,-1,majority,True,"Town vote on Article 1: amend Protective Bylaws to add Multi-Family Overlay District (MFOD) per Section 3A of MGL c. 40A, and amend Zoning Map",https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,6,Motion passed by majority as declared by the Moderator
Stow,MBTA adjacent,Select Board,2024,town_meeting,2025-10-27,,adopted,True,-1,-1,-1,majority,True,Special Town Meeting vote to approve Zoning Bylaw amendments adding Multifamily Housing Overlay District (Section 5.6) and new Overlay District Map per Section 3A,https://www.stow-ma.gov/398/MBTA-Communities,1,"voters at Special Town Meeting (October 27, 2025) APPROVED the Zoning Bylaw amendments and the new Overlay District Map."
Wayland,MBTA adjacent,Select Board,2024,select_board,,26,recommended,False,5,0,0,majority,True,Select Board recommendation on Article 26 – MBTA Communities Multi-Family Housing Overlay District bylaw and map amendment,https://www.wayland.ma.us/DocumentCenter/View/6742,8,Select Board recommends approval. Vote: 5-0-0
Wayland,MBTA adjacent,Select Board,2024,planning_board,,26,recommended,False,4,0,1,majority,True,Planning Board recommendation on Article 26 – MBTA Communities Multi-Family Housing Overlay District bylaw and map amendment,https://www.wayland.ma.us/DocumentCenter/View/6742,8,Planning Board recommends approval. Vote: 4-0-1
Westford,MBTA adjacent,Select Board,2024,planning_board,2023-12-18,,recommended,False,-1,-1,-1,,True,Planning Board voted to sponsor the proposed MBTA Communities zoning bylaw amendment,https://www.westfordma.gov/DocumentCenter/View/14216/MBTA_Communities_Explainer_2_What_done_so_far,1,"On December 18, 2023, the Planning Board voted to sponsor the proposed zoning bylaw amendment"
Westford,MBTA adjacent,Select Board,2024,planning_board,2023-12-18,,recommended,False,-1,-1,-1,,True,Planning Board voted to sponsor the proposed MBTA Communities zoning bylaw amendment,https://www.westfordma.gov/DocumentCenter/View/14369,1,"On December 18, 2023, the Planning Board voted to sponsor the proposed zoning bylaw amendment"
Weston,subway or light rail,Select Board,2023,town_meeting,2024-10-15,,adopted,True,-1,-1,-1,majority,True,Adoption of proposed MBTA Communities multifamily zoning bylaw amendment at October 15th Town Meeting,https://www.westonma.gov/1884/3A-MBTA-Multifamily-Zoning,1,The proposed Zoning Bylaw Amendment was adopted at the October 15th Town Meeting. The bylaw has been sent to the Attorney General for their approval and a compliance application has been submitted to the Executive Office of Housing and Livable Communities (EOHLC). The Town is now in interim compliance with 3A pending approval from both EOHLC and the Ag.
Winthrop,subway or light rail,City Council,2023,city_council,2024-11-19,,rejected,True,3,4,1,majority,False,Town Council vote on whether to approve the Planning Board's recommended MBTA Communities compliance plan (two overlay districts at Seal Harbor Road and Governors Park Condominiums),https://www.winthropma.gov/DocumentCenter/View/1936/ActionPlanforMBTACommunities2025_Submission_Winthrop-2-12-25,5,"The Town Council voted at their meeting on November 19, 2024, 4-3, with one abstention and one recusal to not approve the Planning Board's recommended plan."
