municipality,year,status,host,native_url
Marlborough,2021,HOST_ONLY,marlborough-ma.gov,https://www.marlborough-ma.gov/DocumentCenter/View/234/2021-11-02-Municipal-Election-Results-PDF
Marlborough,2025,HOST_ONLY,marlborough-ma.gov,https://www.marlborough-ma.gov/DocumentCenter/View/3455/OFFICIAL-RESULTS-Municipal-Election---11-04-25
Westfield,2021,HOST_ONLY,cityofwestfield.org,https://www.cityofwestfield.org/DocumentCenter/View/10623/2021-11-02-City-Election-
Westfield,2023,HOST_ONLY,cityofwestfield.org,https://www.cityofwestfield.org/DocumentCenter/View/14176/2023117-City-Election-Results
Westfield,2025,HOST_ONLY,cityofwestfield.org,https://www.cityofwestfield.org/DocumentCenter/View/16936/1142025-UNOFFICIAL-RESULTS-CITY-ELECTION?bidId=
Chelsea,2021,HOST_ONLY,cms5.revize.com,"https://cms5.revize.com/revize/chelseama/Document_Center/Departments/City%20Clerk/Elections,%20Voting%20&%20Campaign%20Finance/Election%20Results/official_results_november_2_2021_municipal_election.pdf"
Chelsea,2023,HOST_ONLY,cms5.revize.com,"https://cms5.revize.com/revize/chelseama/Document_Center/Departments/City%20Clerk/Elections,%20Voting%20&%20Campaign%20Finance/2023%20Election%20Info/November%207%202023%20City%20Election%20Official%20Results.pdf"
Chelsea,2025,HOST_ONLY,cms5.revize.com,"https://cms5.revize.com/revize/chelseama/Document_Center/Departments/City%20Clerk/Elections,%20Voting%20&%20Campaign%20Finance/2025%20Election%20Info/Official%20City%20Election%20Summary%20and%20Precinct%20Results%2011.4.25.pdf?t=202511241140310&t=202511241140310"
Amherst,2023,HOST_ONLY,amherstma.gov,https://www.amherstma.gov/DocumentCenter/View/69786/Unofficial-Results---11-7-23-Town-Election
Amherst,2025,HOST_ONLY,amherstma.gov,https://www.amherstma.gov/DocumentCenter/View/83343/November-4-2025-Town-Election-Official-Certified-Results?bidId=
Shrewsbury,2023,HOST_ONLY,shrewsburyma.gov,https://shrewsburyma.gov/ArchiveCenter/ViewFile/Item/1608
Shrewsbury,2025,HOST_ONLY,shrewsburyma.gov,https://shrewsburyma.gov/ArchiveCenter/ViewFile/Item/1696
Holyoke,2021,HOST_ONLY,storage.googleapis.com,https://storage.googleapis.com/proudcity/holyokema/uploads/2021/11/11.02.21-Official-Results.pdf
Holyoke,2023,HOST_ONLY,storage.googleapis.com,https://storage.googleapis.com/proudcity/holyokema/uploads/2023/11/11.7.23-Official-Municipal-Election-Results.pdf
Holyoke,2025,HOST_ONLY,storage.googleapis.com,https://storage.googleapis.com/proudcity/holyokema/2025/11/b75e54c1-official-reults-november-4-2025.pdf
Natick,2024,HOST_ONLY,natickma.gov,https://www.natickma.gov/DocumentCenter/View/17263/2024_ANNUAL-TOWN-ELECTION_OFFICIAL-RESULTS_3-26-24
Andover,2025,HOST_ONLY,andoverma.gov,https://andoverma.gov/ArchiveCenter/ViewFile/Item/2678
Watertown,2023,HOST_ONLY,content.civicplus.com,https://content.civicplus.com/api/assets/d385806a-fd80-4d85-a313-8ab4ab5417b3?cache=1800
Lexington,2023,HOST_ONLY,lexingtonma.gov,https://www.lexingtonma.gov/DocumentCenter/View/8347/March-6-2023---Annual-Town-Election-PDF
Dartmouth,2021,HOST_ONLY,dartmouthma.gov,https://www.dartmouthma.gov/DocumentCenter/View/6599/2021-April-6-Annual-Town-Election-Official-Results
Dartmouth,2022,HOST_ONLY,town.dartmouth.ma.us,https://www.town.dartmouth.ma.us/DocumentCenter/View/338/2022-April-5-Annual-Town-Election-Official-Results-PDF
Dartmouth,2023,HOST_ONLY,town.dartmouth.ma.us,https://www.town.dartmouth.ma.us/DocumentCenter/View/2343/2023-April-4-Annual-Town-Election-Official-Results
Dartmouth,2024,HOST_ONLY,town.dartmouth.ma.us,https://www.town.dartmouth.ma.us/DocumentCenter/View/3541/2024-April-2-Annual-Town-Election-Official-Results
Dartmouth,2025,HOST_ONLY,town.dartmouth.ma.us,https://www.town.dartmouth.ma.us/DocumentCenter/View/4882/2025-April-1-Annual-Town-Election-Official-Town-Meeting-Member-Results
Franklin,2025,HOST_ONLY,franklinma.gov,https://www.franklinma.gov/DocumentCenter/View/7540/OFFICIAL-RESULTS---11-4-2025---LOCAL-BIENNIAL-ELECTION-11-5-2025
Dracut,2023,HOST_ONLY,dracutma.gov,https://www.dracutma.gov/DocumentCenter/View/2014/Town-Election-May-6-2023-Official-Results-PDF
Dracut,2024,HOST_ONLY,web.archive.org,https://web.archive.org/web/20240515042051/https://www.dracutma.gov/DocumentCenter/View/3497/Unofficial-Results-Town-Election-May-4-2024-PDF?bidId=
Dracut,2025,HOST_ONLY,dracutma.gov,https://www.dracutma.gov/DocumentCenter/View/4699/Official-Results-for-Town-Election-2025-on-May-3-2025-PDF
Falmouth,2021,HOST_ONLY,falmouthma.gov,https://www.falmouthma.gov/DocumentCenter/View/9901/2021-Annual-Town-Election-Unofficial-Results-May-18-2021
Falmouth,2022,HOST_ONLY,falmouthma.gov,https://www.falmouthma.gov/DocumentCenter/View/12082/2022-Annual-Town-Election-Unofficial-Results-May-17-2022
Falmouth,2023,HOST_ONLY,falmouthma.gov,https://www.falmouthma.gov/DocumentCenter/View/14523/2023-Annual-Town-Election-May-16th-Official-Results
Falmouth,2024,HOST_ONLY,falmouthma.gov,https://www.falmouthma.gov/DocumentCenter/View/16584/2024-Annual-Town-Election-May-21st-Un-Official-Results
Falmouth,2025,HOST_ONLY,falmouthma.gov,https://www.falmouthma.gov/DocumentCenter/View/19494/2025--Annual-Town-Election-May-20th-Un-official-Results
Needham,2024,HOST_ONLY,needhamma.gov,https://www.needhamma.gov/5315/2024-Annual-Town-ElectionTown-MeetingCal
Needham,2025,HOST_ONLY,needhamma.gov,https://needhamma.gov/DocumentCenter/View/59121/Preliminary-Tally-04082025-Townwide-Published-04102025
Norwood,2021,HOST_ONLY,cms5.revize.com,https://cms5.revize.com/revize/norwoodma/TCA/ate%20offical%20results.pdf
Norwood,2022,HOST_ONLY,cms5.revize.com,https://cms5.revize.com/revize/norwoodma/ATE%20tally%20Sheet%202022.pdf
Norwood,2023,HOST_ONLY,cms5.revize.com,https://cms5.revize.com/revize/norwoodma/20230412145842890.pdf
Norwood,2024,HOST_MISSING,jamesnicholsworley.github.io,https://jamesnicholsworley.github.io/civicatlasma/Norwood_4_1_2024_ATE_OFFICIAL_RESULTS.pdf
Norwood,2025,HOST_ONLY,cms5.revize.com,https://cms5.revize.com/revize/norwoodma/4.7.2025%20ATE%20OFFICIAL%20RESULTS.pdf
Tewksbury,2023,HOST_ONLY,tewksbury-ma.gov,https://www.tewksbury-ma.gov/DocumentCenter/View/3713/April-1-2023-Annual-Town-Election-Official-Results
Tewksbury,2024,HOST_ONLY,tewksbury-ma.gov,https://www.tewksbury-ma.gov/DocumentCenter/View/4940/4624-Annual-Town-Election-Official-Results
North Andover,2023,HOST_ONLY,drive.google.com,https://drive.google.com/file/d/14vvIypTB-ukMjs5reEByiR_bHmhxdBXg/view
North Andover,2024,HOST_ONLY,drive.google.com,https://drive.google.com/file/d/14j-bVk7GtK0kQMKLJq8CO-fN41NfdtwJ/view
North Andover,2025,HOST_ONLY,drive.google.com,https://drive.google.com/file/d/1uNctApcb2tWvnKnjD4wXoLaG4NDSbsPX/view
North Attleborough,2021,HOST_ONLY,nattleboro.com,https://www.nattleboro.com/DocumentCenter/View/1585/2021-April-6-Town-Election-Official-Totals-PDF
North Attleborough,2022,HOST_ONLY,nattleboro.com,https://www.nattleboro.com/DocumentCenter/View/3241/2022-April-5-Town-Election-Official-Results-PDF
Milford,2021,HOST_ONLY,citizensformilford.com,https://citizensformilford.com/wp-content/uploads/2021/04/2021-Unofficial-Annual-Town-Election-Results.pdf
Melrose,2025,HOST_ONLY,cityofmelrose.org,https://www.cityofmelrose.org/DocumentCenter/View/2778/Local-Election-Results-for-2025
Gloucester,2023,HOST_ONLY,gloucester-ma.gov,https://gloucester-ma.gov/DocumentCenter/View/9787/OFFICIAL-RESULTS-NOVEMBER-7-2023?bidId=
Gloucester,2025,HOST_ONLY,gloucester-ma.gov,https://www.gloucester-ma.gov/DocumentCenter/View/11881/OFFICIAL-RESULTS-November-4-2025-City-Election
Northampton,2021,HOST_ONLY,northamptonma.gov,https://northamptonma.gov/DocumentCenter/View/18596/Final-Election-Report-November-2-2021
Northampton,2023,HOST_ONLY,northamptonma.gov,https://northamptonma.gov/DocumentCenter/View/24059/2023-11-07FinalElectionResults
Northampton,2025,HOST_ONLY,northamptonma.gov,https://northamptonma.gov/DocumentCenter/View/35208/Municipal-Election-Results-Final-Report---November-4-2025
Stoughton,2022,HOST_MISSING,stoughtonma.gov,https://www.stoughtonma.gov/DocumentCenter/View/12788/2022-Annual-Town-Election-Results-PDF
Stoughton,2023,HOST_ONLY,stoughton.org,https://www.stoughton.org/DocumentCenter/View/1713/04042023-FINAL-Local-Election-Results
Agawam,2023,HOST_ONLY,agawam.ma.us,https://www.agawam.ma.us/DocumentCenter/View/2421/November-7-results?bidId=
Agawam,2025,HOST_ONLY,agawam.ma.us,https://www.agawam.ma.us/DocumentCenter/View/3428/2025-Resuts?bidId=
Bridgewater,2022,HOST_ONLY,bridgewaterma.org,https://www.bridgewaterma.org/DocumentCenter/View/4721/ATE4232022-Unofficial-Results
Bridgewater,2023,HOST_ONLY,bridgewaterma.org,https://www.bridgewaterma.org/DocumentCenter/View/5178/ATE-4-22-2023--Results?bidId=
Bridgewater,2024,HOST_ONLY,bridgewaterma.org,https://www.bridgewaterma.org/DocumentCenter/View/5617/ATE4272024-Official-Results-?bidId=
Bridgewater,2025,HOST_ONLY,bridgewaterma.org,https://www.bridgewaterma.org/DocumentCenter/View/6261/ATE-04262025-Results?bidId=
Milton,2023,HOST_ONLY,miltonma.gov,https://www.miltonma.gov/Archive.aspx?ADID=207
Milton,2025,HOST_ONLY,townofmilton.org,https://www.townofmilton.org/DocumentCenter/View/8299/2025-Annual-Town-Election-TW-and-TM-Unofficial-Results
Saugus,2021,HOST_ONLY,saugus-ma.gov,https://www.saugus-ma.gov/DocumentCenter/View/821/2021-November-2---Local-Town-Election-Results-PDF
Saugus,2023,HOST_ONLY,saugus-ma.gov,https://www.saugus-ma.gov/DocumentCenter/View/824/2023-November-7---Local-Town-Election-Results-PDF
Saugus,2025,HOST_ONLY,saugus-ma.gov,https://www.saugus-ma.gov/sites/g/files/vyhlif1181/f/uploads/local_election_11.4.2025_-_official_results_002.pdf
Danvers,2025,HOST_ONLY,danversma.gov,https://www.danversma.gov/DocumentCenter/View/3709/May-6-2025-Annual-Town-Election-Official-Results-PDF
Wakefield,2022,HOST_ONLY,wakefield.ma.us,https://www.wakefield.ma.us/sites/g/files/vyhlif3986/f/uploads/town-election-2022-04-26.pdf
Wakefield,2025,HOST_ONLY,wakefield.ma.us,https://www.wakefield.ma.us/sites/g/files/vyhlif3986/f/uploads/town-election-results-2025-04-22.pdf
Walpole,2023,HOST_ONLY,walpole-ma.gov,https://www.walpole-ma.gov/sites/g/files/vyhlif1381/f/uploads/2023.06.03_ate_voter_info.pdf
Walpole,2024,HOST_ONLY,walpole-ma.gov,https://www.walpole-ma.gov/sites/g/files/vyhlif12086/f/uploads/2024.06.01_walpole_ate.pdf
Walpole,2025,HOST_ONLY,walpole-ma.gov,https://www.walpole-ma.gov/sites/g/files/vyhlif12086/f/uploads/2025.05.20_ate_official_results_0.pdf
Burlington,2021,HOST_ONLY,burlington.org,https://www.burlington.org/DocumentCenter/View/3694/Town-Election-2021
Burlington,2023,HOST_ONLY,burlington.org,https://www.burlington.org/DocumentCenter/View/13011/Town-Election-2023
Burlington,2024,HOST_ONLY,burlington.org,https://www.burlington.org/DocumentCenter/View/14668/Town-Election-2024
Burlington,2025,HOST_ONLY,burlington.org,https://www.burlington.org/DocumentCenter/View/17564/Town-Election-2025
Marshfield,2021,HOST_ONLY,cms3.revize.com,https://cms3.revize.com/revize/marshfield/Documents/Departments/Town%20Hall/Town%20Clerk/Elections/Election%20Results/tally_sheet_local_election_050121_final.pdf
Marshfield,2022,HOST_ONLY,cms3.revize.com,https://cms3.revize.com/revize/marshfield/Documents/Departments/Town%20Hall/Town%20Clerk/Elections/Election%20Results/220430tally_sheet_local_election.pdf
Marshfield,2023,HOST_ONLY,marshfield-ma.gov,https://www.marshfield-ma.gov/Documents/Departments/Town%20Hall/Town%20Clerk/Elections/Election%20Results/local_election_april_29_2023_final_results_0.pdf?t=202407311049430
Marshfield,2024,HOST_ONLY,cms3.revize.com,https://cms3.revize.com/revize/marshfield/240427%20Local%20Election%20Results.pdf
Marshfield,2025,HOST_ONLY,marshfield-ma.gov,https://www.marshfield-ma.gov/240427%20Local%20Election%20Results.pdf?t=202501161316370
Reading,2021,HOST_ONLY,readingma.gov,https://www.readingma.gov/DocumentCenter/View/2938/2021-04-06-Local-Election-Results-PDF
Reading,2023,HOST_ONLY,readingma.gov,https://www.readingma.gov/DocumentCenter/View/10193/2023-04-04-Local-Election-Results-PDF
Reading,2024,HOST_ONLY,readingma.gov,https://www.readingma.gov/DocumentCenter/View/13273/2024-03-05-Local-Election-Results-PDF
Reading,2025,HOST_ONLY,readingma.gov,https://www.readingma.gov/DocumentCenter/View/17101/2025-04-08-Local-Election-Results-PDF
Dedham,2021,HOST_ONLY,dedham-ma.gov,https://www.dedham-ma.gov/home/showpublisheddocument/14984/637536872049570000
Dedham,2022,HOST_ONLY,dedham-ma.gov,https://www.dedham-ma.gov/home/showpublisheddocument/17833/637853643440570000
Dedham,2023,HOST_ONLY,dedham-ma.gov,https://www.dedham-ma.gov/home/showpublisheddocument/20768/638176071909100000
Dedham,2024,HOST_ONLY,dedham-ma.gov,https://www.dedham-ma.gov/home/showpublisheddocument/21702/638671781803800000
Dedham,2025,HOST_ONLY,dedham-ma.gov,https://www.dedham-ma.gov/home/showpublisheddocument/25421/638802475709570000
Easton,2023,HOST_ONLY,eastontownma.documents-on-demand.com,https://eastontownma.documents-on-demand.com/?l=f591af8c635542dc9dc3f568f0ffcf1c&d=2d8269706ee1ed11a3b8000c29a59557
Yarmouth,2024,HOST_ONLY,yarmouth.ma.us,https://www.yarmouth.ma.us/DocumentCenter/View/18845/YARMOUTH-MA---ANNUAL-TOWN-ELECTION----05212024-OFFICIAL-FNL
Westford,2021,HOST_ONLY,westfordma.gov,https://www.westfordma.gov/DocumentCenter/View/10067/May-4-2021-Annual-Town-Election-OFFICIAL-RESULTS
Westford,2022,HOST_ONLY,westfordma.gov,https://westfordma.gov/DocumentCenter/View/11191/2022-05-03-Precinct-Totals-Unofficial
Westford,2024,HOST_ONLY,westfordma.gov,https://westfordma.gov/DocumentCenter/View/14581/May-7-2024-Annual-Town-Election-UNOFFICIAL-Results
Westford,2025,HOST_ONLY,westfordma.gov,https://westfordma.gov/DocumentCenter/View/16365/5-6-2025-OFFICIAL-election--results-5-8-2025-1
Canton,2025,HOST_ONLY,town.canton.ma.us,https://www.town.canton.ma.us/DocumentCenter/View/11848/2025-Annual-Town-Election-Results
Hingham,2021,HOST_ONLY,hingham-ma.gov,https://www.hingham-ma.gov/DocumentCenter/View/12240/2021-Town-Election-Results-PDF?bidId=
Hingham,2022,HOST_ONLY,hingham-ma.gov,https://www.hingham-ma.gov/DocumentCenter/View/14266/2022-Town-Election-Results-PDF
Hingham,2025,HOST_ONLY,hingham-ma.gov,https://www.hingham-ma.gov/DocumentCenter/View/23997/Town-Election-Results-May-2025?bidId=
Middleborough,2021,HOST_ONLY,middleboroughma.gov,https://www.middleboroughma.gov/ArchiveCenter/ViewFile/Item/316
Middleborough,2022,HOST_ONLY,middleboroughma.gov,https://www.middleboroughma.gov/ArchiveCenter/ViewFile/Item/323
Middleborough,2023,HOST_ONLY,middleboroughma.gov,https://www.middleboroughma.gov/ArchiveCenter/ViewFile/Item/330
Middleborough,2024,HOST_ONLY,middleboroughma.gov,https://www.middleboroughma.gov/ArchiveCenter/ViewFile/Item/334
Middleborough,2025,HOST_ONLY,middleboroughma.gov,https://www.middleboroughma.gov/ArchiveCenter/ViewFile/Item/340
Acton,2021,HOST_ONLY,ma-acton2.civicplus.com,https://ma-acton2.civicplus.com/ArchiveCenter/ViewFile/Item/14138
Acton,2022,HOST_ONLY,ma-acton2.civicplus.com,https://ma-acton2.civicplus.com/ArchiveCenter/ViewFile/Item/15276
Acton,2023,HOST_ONLY,ma-acton2.civicplus.com,https://ma-acton2.civicplus.com/ArchiveCenter/ViewFile/Item/18407
Acton,2024,HOST_ONLY,acton-ma.gov,https://www.acton-ma.gov/DocumentCenter/View/9561/Annual-Town-Election-43024-FINAL?bidId=
Acton,2025,HOST_ONLY,acton-ma.gov,https://www.acton-ma.gov/DocumentCenter/View/10630/Annual-Town-Election-0429-2025-Final-Results?bidId=
Mansfield,2023,HOST_ONLY,townforms.com,https://www.townforms.com/FOIADirect-MansfieldMACitizens/Public/Request/ResponseDocDownload.aspx?pRId=wBdyeBSFqLA%3d&pDocId=ItGb2Fg%2b%2bsc%3d
Mansfield,2025,HOST_ONLY,mansfieldma.com,https://www.mansfieldma.com/DocumentCenter/View/11634/Results-5-13-25-ATE
Wilmington,2021,HOST_ONLY,wilmingtonma.gov,https://www.wilmingtonma.gov/sites/g/files/vyhlif5221/f/uploads/6_precinct_total_tally-_certified_results_0.pdf
Wilmington,2022,HOST_ONLY,wilmingtonma.gov,https://www.wilmingtonma.gov/sites/g/files/vyhlif5221/f/uploads/certified_results_4.23.2022.pdf
Wilmington,2023,HOST_ONLY,wilmingtonma.gov,https://www.wilmingtonma.gov/sites/g/files/vyhlif5221/f/uploads/official_results_4.22.2023.pdf
Wilmington,2024,HOST_ONLY,wilmingtonma.gov,https://www.wilmingtonma.gov/sites/g/files/vyhlif5221/f/uploads/total_tally-_official_results_4.27.2024.v2_0.pdf
Wilmington,2025,HOST_ONLY,wilmingtonma.gov,https://www.wilmingtonma.gov/sites/g/files/vyhlif5221/f/uploads/04.26.2025.official_results.pdf
Wareham,2023,HOST_ONLY,wareham.ma.us,https://www.wareham.ma.us/DocumentCenter/View/2838/2023-May-Election-Results-PDF
Wareham,2024,HOST_ONLY,wareham.ma.us,https://wareham.ma.us/DocumentCenter/View/2839/2024-Local-Election-Results-PDF
Stoneham,2023,HOST_ONLY,stoneham-ma.gov,https://www.stoneham-ma.gov/DocumentCenter/View/7124/2023-Annual-Town-Election
Stoneham,2024,HOST_ONLY,stoneham-ma.gov,https://www.stoneham-ma.gov/DocumentCenter/View/8730/2024-Annual-Town-Election
Stoneham,2025,HOST_ONLY,stoneham-ma.gov,https://www.stoneham-ma.gov/DocumentCenter/View/10440/2025-Annual-Town-Election-
Westborough,2021,HOST_ONLY,town.westborough.ma.us,https://www.town.westborough.ma.us/DocumentCenter/View/476/Election-Results-2021-PDF?bidId=
Westborough,2024,HOST_ONLY,town.westborough.ma.us,https://www.town.westborough.ma.us/DocumentCenter/View/3079/2024-03-12-TOWN-ELECTION-Results-OFFICIAL?bidId=
Gardner,2025,HOST_ONLY,gardner-ma.gov,https://www.gardner-ma.gov/DocumentCenter/View/11949/2025-Official-Election-Results?bidId=
Bourne,2022,HOST_ONLY,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/mx-m264n_20220517_200322.pdf
Bourne,2023,HOST_ONLY,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/news/mx-m264n_20230516_202021.pdf
Bourne,2024,HOST_ONLY,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/may_21_2024_town_election_unofficial_results.pdf
Bourne,2025,HOST_ONLY,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/unofficial_election_results_with_write-ins_-_may_20_2025_1.pdf
Sandwich,2024,HOST_ONLY,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/352
Sandwich,2025,HOST_ONLY,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/439
Hudson,2021,HOST_ONLY,townofhudson.org,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/may10_2021_annual_town_election_unoffical_results.pdf
Hudson,2022,HOST_ONLY,townofhudson.org,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/5.09.22_annual_town_election_official_results.pdf
Hudson,2025,HOST_ONLY,townofhudson.org,https://www.townofhudson.org/Archive.aspx?ADID=239
Grafton,2021,HOST_ONLY,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/1073/5-22-2021--Local-Election-PDF
Grafton,2022,HOST_ONLY,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/1072/5-17-2022--Local-Election-PDF
Grafton,2023,HOST_ONLY,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/9253/5-16-2023-Local-Election
Norton,2022,HOST_ONLY,nortonma.org,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/official_results_ate_04-30-2022_3.pdf
Norton,2025,HOST_ONLY,nortonma.org,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/2025.04.26_norton_unofficial_election_result_4.26.2025.pdf
Scituate,2022,HOST_ONLY,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/official_results_ate_5-21-2022.pdf
Scituate,2023,HOST_ONLY,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif3781/f/pages/amended_official_town_election_results_5-20-23.pdf
Scituate,2024,HOST_ONLY,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/official_results_2024_annual_town_election.pdf
Scituate,2025,HOST_ONLY,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/alerts/official_town_election_results_5-31-2025_kg_2.pdf
Sudbury,2023,HOST_ONLY,sudbury.ma.us,https://sudbury.ma.us/election/316/
Ashland,2022,HOST_ONLY,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/9931/OFFICIAL-RESULTS-FOR-MAY-17-2022-ATE-ctl
Ashland,2025,HOST_ONLY,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/15235/Official-Results-for-May-20-2025-Annual-Town-Election
