town,community_type,governing_body,legislative_form,planning_board_recommendation,planning_board_date,planning_board_vote,legislative_outcome,legislative_date,legislative_tally,legislative_article,threshold,eohlc_status,adoption_date,confidence,doc_source_url,sources,notes
Ayer,commuter rail,Select Board,Open Town Meeting,favorable,2024-09-24,4-1,adopted,2024-10-28,,,2/3,Compliant,2024-08-26,medium,,https://www.ayer.ma.us/547/MBTA-Communities-Documents | https://www.ayer.ma.us/DocumentCenter/View/13710/final_ayer_2024_fall_stm_warrant,"MBTA Communities Overlay District Bylaw approved at October 28, 2024 Special Town Meeting. Planning Board held public hearing September 10–24, 2024, voted 4-1 to recommend. Seed adoption_date of 2024-08-26 likely reflects EOHLC interim compliance acknowledgment predating the actual legislative vote; decisive legislative vote was October 28, 2024. Article number not recoverable from available public documents (warrant PDF binary-only)."
Bedford,bus,Select Board,Open Town Meeting,favorable,2024-02-27,,adopted,2024-03-25,voice/unanimous,11 and 12,2/3,Compliant,2024-04-01,medium,,https://thebedfordcitizen.org/2024/03/what-you-need-to-know-about-the-2024-annual-town-meeting/ | https://www.bedfordma.gov/836/MBTA-Communities-Multifamily-Zoning-Requ | https://bedfordma.gov/DocumentCenter/View/6382/Annual-Town-Meeting-20240325-Minutes-PDF | https://www.bedfordma.gov/CivicAlerts.aspx?AID=345,"MBTA multifamily zoning text (Article 11) and map (Article 12) both passed by overwhelming majority in a hand vote at the March 25, 2024 Annual Town Meeting; no numeric tally reported. Planning Board held public hearing February 13 and February 27, 2024, and voted to recommend both articles favorably; Planning Board itself sponsored the articles. AG approved the zoning in early July 2024. EOHLC certified compliance April 2025 — hence no EOHLC adoption_date in the seed. Adoption date in structured output is approximate (AG filing / effective date); seed field left blank."
Bellingham,MBTA adjacent,Select Board,Open Town Meeting,unknown,,,adopted,2024-11-20,,,2/3,Compliant,2024-12-09,medium,,https://www.bellinghamma.org/673/Town-Meeting-Warrants-Results | https://www.bellinghambulletin.com/2024/10/03/507916/bellingham-prepares-for-mbta-multi-family-zoning | https://ecode360.com/46474522,"Fall Town Meeting held November 20, 2024; CHAPA counted Bellingham among compliant communities approximately November 22, 2024, confirming adoption. MBTA Communities Overlay District (Article XXX in the town's zoning code) covers North Main Street and Mechanic Street subdistricts; map dated September 23, 2024 on file with Town Clerk. Warrant article number and numeric vote tally not recoverable from public search results. Planning board recommendation not confirmed in available sources. EOHLC certified December 9, 2024."
Belmont,bus,Select Board,Representative Town Meeting,favorable,2024-10-30,3-2,adopted,2024-11-20,213-8,Article 2,majority,Compliant,,high,,https://belmontvoice.org/town-meeting-supports-mbta-compliance-approves-cell-tower-lease/ | https://www.belmont-ma.gov/AgendaCenter/ViewFile/Minutes/_10302024-716 | https://www.belmontcitizensforum.org/2024/10/28/town-meeting-to-decide-mbta-zoning/ | http://belmontonian.com/government/battle-of-the-mbta-communities-maps-on-first-night-of-special-town-meeting-monday/,"Special Town Meeting Nov 18-20, 2024 at Belmont High School. Article 2 (main 3A zoning district, simple majority threshold) adopted 213-8 on the final night (Nov 20). Planning Board voted 3-2 in favor of Map 1 (without Purecoat site) and endorsed either map as preferable to non-compliance. Companion Articles 3 (Inclusionary Housing) and 4 (Design/Site Plan Review) required 2/3. EOHLC final compliance confirmed spring 2025 after AG approval April 2025; seed adoption_date is blank (EOHLC has not yet recorded a district adoption date in the seed)."
Berkley,MBTA adjacent,Select Board,Open Town Meeting,favorable,2025-11-12,4-0,adopted,2025-11-15,voice/unanimous,Article 4,majority,Compliant,2025-10-09,high,https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf | https://townofberkleyma.gov/special-town-meeting-warrant-november-15-2025/,"Special Town Meeting Nov 15, 2025; 212 attendees. Article 4 created Residential Development Overlay District (RDOD) along County Street (10 acres, up to 151 multifamily units) to comply with MBTA Communities Act (simple majority required). Planning Board Chairman Marc Oliveira confirmed PB voted unanimously (4-0 at Nov 12 public hearing) to recommend passage. Motion to postpone Article 4 was defeated before the main vote, which then carried unanimously. Seed EOHLC adoption_date of 2025-10-09 predates the town vote; likely reflects an earlier EOHLC pre-approval or interim action date rather than the district adoption date."
Beverly,bus,City Council,City Council,favorable,2024-10-08,6-0,adopted,2024-11-12,,,,Compliant,,medium,https://beverlyma.gov/1105/MBTA-Communities-Multifamily-Zoning,https://beverlyma.gov/1105/MBTA-Communities-Multifamily-Zoning | https://www.beverlyma.gov/AgendaCenter/ViewFile/Minutes/_09172024-1944 | https://www.beverlyma.gov/AgendaCenter/ViewFile/Minutes/_10082024-1974 | https://patch.com/massachusetts/peabody/north-shore-cities-towns-split-state-mbta-zoning-mandate-merits,"Beverly City Council adopted MBTA Communities 3A zoning amendments on November 12, 2024. Joint public hearing with City Council was held October 7, 2024; Planning Board closed its hearing and voted 6-0 favorable on October 8, 2024. Vote passed with little objection as Beverly was already substantially in compliance. No order number or council vote tally found in public records. EOHLC confirmed compliance April 2025 (Beverly's official page states compliance confirmed April 2025 following Dec 31, 2024 application submission). Seed adoption_date is blank."
Billerica,bus,Select Board,Open Town Meeting,favorable,2024-11-20,,adopted,2024-12-12,94-46,Article 1,2/3,Compliant,2024-12-18,high,,https://x.com/JenniferRaitt/status/1867412454428291534 | https://www.town.billerica.ma.us/972/MBTA-Communities | https://town.billerica.ma.us/DocumentCenter/View/12560/FINAL-WARRANT,"Special Fall Town Meeting December 12, 2024. Article 1 created MBTA Communities Multi-Family Overlay District (MCMOD) with four subdistricts (Outer Mills, Inner Mills, Federal Street, Kenmar). Vote 94-46 confirmed by MHP Executive Director Jennifer Raitt via social media. Planning Board prepared and released final bylaw draft on 11/20/2024 and held open forum 12/2/2024; formal PB vote tally not publicly reported. EOHLC certified compliance 2024-12-18."
Bourne,MBTA adjacent,Select Board,Open Town Meeting,favorable,,,adopted,2025-10-20,69-47,Article 12,2/3,Compliant,2025-08-19,medium,,https://www.bourne-ma.gov/1961/MBTA-Multi-Family-Zoning | https://www.bourne-ma.gov/1718/Multi-family-Housing-Zoning-Information- | https://www.capenews.net/bourne/news/all-13-articles-pass-at-special-town-meeting-zoning-update-sparks-debate/article_47c12223-6568-4df1-a397-28aca848363f.html | https://www.capecod.com/newscenter/local-news/town-meeting-passes-multi-family-housing-district-in-bourne-for-mbta-communities-act/,"Special Town Meeting October 20, 2025. Article 12 passed 69-47 with heavy debate; approximately half of ~225 attendees abstained. Planning Board created the Multifamily Overlay District (MFOD) in the Downtown District of Buzzards Bay; formal PB vote tally/date not publicly confirmed. EOHLC seed adoption_date 2025-08-19 appears to reflect an interim compliance milestone predating the town meeting vote; final EOHLC compliance confirmation followed the October 2025 vote. Bourne is the only Cape Cod town subject to the MBTA Communities Act."
Boxborough,MBTA adjacent,Select Board,Open Town Meeting,favorable,2025-09-03,5-0,adopted,2025-10-14,193-87,Article 6,2/3,Interim/Unknown,,high,,https://www.boxborough-ma.gov/699/MBTA-Communities---Multi-Family-Zoning | https://boxborough-ma.gov/DocumentCenter/View/5869/FTM-Oct-2025-warrant_proceedings-final-true-copy-PDF | https://www.boxboroughnews.org/archives/july-dec-2025-news | https://www.boxborough-ma.gov/AgendaCenter/ViewFile/Minutes/_09032025-4567,"Fall Town Meeting October 14-15, 2025 (Boxboro Regency, 412 voters present). Article 6 created MBTA Communities Overlay District; passed 193-87, exceeding 2/3 threshold (~187 required). Planning Board voted 5-0 on September 3, 2025 to recommend adoption. Housing Board also voted unanimously in support August 27, 2025. EOHLC placed town in 'interim compliance' December 10, 2025 because the adopted bylaw's net density calculation was later found to overstate units per acre; town is correcting the error and is not facing penalties. Seed status Interim/Unknown is confirmed. No EOHLC-certified adoption date yet."
Boxford,MBTA adjacent,Select Board,Open Town Meeting,favorable,2025-11-12,4-1,adopted,2025-12-17,438-186,Article 8,2/3,Compliant,2025-12-19,high,,https://thetowncommon.com/2025/12/24/boxford-votes-to-comply-with-mbta-mandate-offers-up-legal-entangled-nearly-undevelopable-land/ | https://thelocalnews.news/2025/12/03/boxford-special-town-meeting-details-for-december-17-2025/ | https://www.boxfordma.gov/AgendaCenter/ViewFile/Minutes/_11122025-1026 | https://www.boxfordma.gov/542/MBTA-Communities-Law,"Planning Board voted 4-1 favorable under protest; chair Gore cast dissenting vote on principle. STM held Dec 17 2025 at Masconomet auditorium; motion to end debate passed 473-142 before all speakers heard. Prior attempt at Bradford Street district rejected by EOHLC in June 2025 (parcels derived frontage from North Andover public way). Final district placed at The Willows at Boxford (14.88 ac), which residents opposed as nearly undevelopable due to condo-law constraints."
Braintree,subway or light rail,City Council,City Council,favorable,2023-11-28,4-1,adopted,2023-12-19,6-2,,majority,Compliant,2023-12-14,high,,https://www.yahoo.com/news/braintree-town-council-votes-zoning-203453771.html | https://www.yahoo.com/news/braintree-planning-board-recommends-zoning-093054934.html | https://braintreema.gov/DocumentCenter/View/12528/MBTA-COMMUNITIES-ZONING-December-7-2023-Redlined-Revision,"City Council voted 6-2 on Dec 19 2023 (councilors O'Brien and Mackin Jr. dissented). Planning Board special meeting Nov 28 2023 voted 4-1 favorable (Grove dissented). Zoning created four multifamily overlay districts permitting ~3,769 units. EOHLC adoption date in seed (2023-12-14) predates the Dec 19 council vote — likely refers to an earlier submission or committee action; the decisive full council vote was Dec 19 2023. One of 12 rapid-transit communities meeting the year-end 2023 deadline."
Bridgewater,commuter rail,City Council,City Council,unknown,,,adopted,2024-04-30,8-1,,majority,Compliant,2024-04-30,medium,,https://bridgewaterraynhamnews.substack.com/p/zoning-changes-approved-to-comply | https://bridgewaterma.org/DocumentCenter/View/6376/Zoning-Ordinance-D-FY26-001-MBTA-Final-Compliance-w-letter | https://mbtacommunities.bostonindicators.org/in-the-zone-despite-challenges-dozens-of-plans-are-passing-at-spring-town-meetings/,"Town Council voted 8-1 on April 30 2024 adopting a form-based code for the central business district to meet MBTA Communities requirements. EOHLC later (April 2025) found the district in only Conditional Compliance — district covered 610 units vs 1,401 required. A final compliance ordinance (D-FY26-001) was subsequently prepared. Planning board recommendation details not found in available sources. Seed EOHLC status is Compliant; actual compliance path involved a conditional phase and subsequent amendment."
Brockton,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Brookline,subway or light rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-02,,,,
Burlington,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-02-14,,,,
Cambridge,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-26,,,,
Canton,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-01-22,,,,
Carlisle,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-11-12,,,,
Carver,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Chelmsford,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Chelsea,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-08,,,,
Cohasset,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-01-17,,https://www.cohassetma.gov/706/MBTA-Communities-Overlay-District-Inform,,
Concord,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Conditional,,,,,
Danvers,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-19,,,,
Dedham,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-20,,,,
Dover,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-09,,https://doverma.gov/675/MBTA-Communities-Act,,
Dracut,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,https://dracutma.gov/DocumentCenter/View/5564/MBTA-Communities-Act-Frequently-Asked-Questions-2-26-2026-PDF,,
Duxbury,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-06-06,,,,
East Bridgewater,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Easton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-05-23,,,,
Essex,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-12-08,,,,
Everett,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Conditional,,,,,
Fitchburg,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Foxborough,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-12,,,,
Framingham,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Franklin,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Freetown,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Georgetown,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Gloucester,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-10-09,,https://gloucester-ma.gov/1250/Past-MBTA-Communities-Meetings-Presentat,,
Grafton,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-10-20,,,,
Groton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-15,,,,
Groveland,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-06-18,,,,
Halifax,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Hamilton,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-07,,,,
Hanover,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-12-17,,,,
Hanson,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Harvard,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-18,,https://www.harvard-ma.gov/DocumentCenter/View/1563/ATM-Minutes---April-6-2024-PDF,,
Haverhill,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-09-14,,,,
Hingham,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-26,,https://hingham-ma.gov/1013/MBTA-Communities,,
Holbrook,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Holden,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Holliston,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-02,,https://www.townofholliston.us/DocumentCenter/View/9711,,
Hopkinton,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2026-06-02,,,,
Hull,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-25,,,,
Ipswich,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-02,,,,
Kingston,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-15,,https://kingstonma.gov/DocumentCenter/View/5637,,
Lakeville,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Lancaster,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Conditional,,,,,
Lawrence,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-20,,,,
Leicester,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-11-05,,,,
Leominster,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-13,,,,
Lexington,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-06-06,,https://lexingtonma.gov/1496/MBTA-Communities-Zoning,,
Lincoln,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-01-24,,https://lincolntown.org/DocumentCenter/View/85829/DistrictComplianceApplicationforMBTACommunities_Submission_1216484705,,
Littleton,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-11,,,,
Lowell,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-07-11,,,,
Lunenburg,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-12-19,,,,
Lynn,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2025-03-05,,,,
Lynnfield,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-11-18,,,,
Malden,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-12,,,,
Manchester,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Mansfield,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-09-04,,https://mansfieldma.com/705/MGL-Chapter-40A-Section-3A-3A-MBTA-Zonin,,
Marblehead,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Marlborough,MBTA adjacent,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-11-15,,,,
Marshfield,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Maynard,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-12,,https://townofmaynard-ma.gov/DocumentCenter/View/3037/Official-Minutes-of-ATM-5-20-2024,,
Medfield,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-11,,,,
Medford,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-19,,,,
Medway,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-11-12,,,,
Melrose,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2025-08-11,,,,
Merrimac,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-19,,,,
Methuen,MBTA adjacent,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Middleborough,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Middleton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Millbury,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-07-08,,https://millburyma.gov/DocumentCenter/View/385/Signed-Warrant,,
Millis,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-06-18,,,,
Milton,subway or light rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Nahant,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-11-05,,,,
Natick,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Needham,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-27,,https://needhamma.gov/DocumentCenter/View/47397,,
Newbury,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-10-04,,https://townofnewbury.org/896/MBTA-Communities-Multi-Family-Zoning-Ove,,
Newburyport,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Newton,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-01-29,,,,
Norfolk,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
North Andover,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-20,,,,
North Attleborough,MBTA adjacent,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-27,,,,
North Reading,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-06-10,,https://northreadingma.gov/377/MBTA-Communities3A-Compliance,,
Northborough,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-27,,https://www.town.northborough.ma.us/sites/g/files/vyhlif12221/f/uploads/town_meeting_minutes_04.22.2024.pdf,,
Northbridge,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-09-11,,,,
Norton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-22,,,,
Norwell,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Norwood,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-11,,https://www.norwoodma.gov/departments/planning_and_economic_development/mbta_community_initiative.php,,
Paxton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-12-08,,,,
Peabody,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-10,,,,
Pembroke,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-05-02,,,,
Plymouth,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-29,,,,
Plympton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-22,,https://town.plympton.ma.us/DocumentCenter/View/669/Minutes-for-Annual-Town-Meeting,,
Princeton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Quincy,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-01-30,,,,
Randolph,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-27,,,,
Raynham,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-22,,,,
Reading,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-01-02,,,,
Rehoboth,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,https://www.rehobothma.gov/sites/g/files/vyhlif4911/f/uploads/warrant_10.7.25-final_copy_to_printer.pdf,,
Revere,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-15,,,,
Rochester,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Rockland,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-30,,,,
Rockport,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-20,,,,
Rowley,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-07-07,,,,
Salem,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-06-08,,,,
