stem,source_sha256,field,was,should_be,read,why,status,decided_by,decided_on,applied_on
Millbury2024,2110c736d1fa1ba17fdf49783f5e3a78493934c1e68b939e70649e00f38e41fd,"candidates[].name_original == ""Catherine Vaillancourt"" (PLANNING BOARD 3 YRS)",Catherine Vaillancourt,Catherine Vaillancort,"data/pdftext (the PDF's own text layer, not OCR): ""Marissa Vaillancort    1   1"" and ""Catherine Vaillancort    1   1"". The markdown extraction of the same PDF agrees: ""Marissa Vaillancort 1 1"", ""Catherine Vaillancort 1 1"".","Both are one-vote write-in scatter rows under PLANNING BOARD 3 YRS. The record spells them Vaillancourt, which is the more usual spelling of the surname and is exactly the kind of silent normalisation name_original exists to prevent. The clerk printed Vaillancort.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Burlington2022,39afec31bf9dc225c0456bad29e432ef43c99b489fcddd8fbb0515e914592e28,"candidates[].name_original == ""Anthony John Salamone III"" (TOWN MEETING MEMBER - 3 YR)",Anthony John Salamone III,Anthoney John Salamone III,"data/pdftext (the PDF's own text layer): ""Anthoney John Salamone III*    144    144"". The markdown extraction agrees: ""Anthoney John Salamone III*"". The asterisk is the document's own write-in marker and is not part of the name.","The record normalised Anthoney to Anthony. The figure 144 is exact in both readings, so the row was read correctly and only the spelling was changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Worcester2021,fb10b18cb2e5c2690e9d0fbf96dd8d0d28b2d3a2c8481c099821235fd7870370,candidates[].name_original (MAYOR),DONNA M. COLORID,DONNA M. COLORIO,"Page 1 of Worcester2021_d0.pdf rendered at 165dpi. Heading: ""SUMMARY REPORT / OFFICIAL ELECTION RESULTS / MUNICIPAL ELECTION 11/02/2021 / REPORT-EL45  PAGE 001"", ""BALLOTS CAST - TOTAL. 17,326"". Printed lines: MAYOR ""DONNA M. COLORIO . 4,153 24.87""; COUNCILOR AT LARGE ""DONNA M. COLORIO . 7,285 10.76""; SCHOOL COMMITTEE MEMBER (VOTE FOR) 6 ""JERMAINE L. JOHNSON . 8,908 14.81 / SUSAN M. MAILMAN . 8,879 14.77 / MOLLY O. MCCULLOUGH . 8,197 13.63 / TRACY O'CONNELL NOVICK . 8,022 13.34 / JERMOH V. KAMARA . 8,001 13.31 / LAURA B. CLANCEY . 6,911 11.49 / DIANNA L. BIANCHERIA. . 6,132 10.20 / SHANEL C. SOUCY . 5,085 8.46 / Total . 60,135 / Blank Votes . 43,821"". COUNCILOR DISTRICT 1 prints ""SEAN M. ROSE . 3,408 53.19"", which the record already has right.","A D read for an O in the last letter. The figure 4,153 is exact. || not applied: 2 places hold 'DONNA M. COLORID'; ambiguous",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Worcester2021,fb10b18cb2e5c2690e9d0fbf96dd8d0d28b2d3a2c8481c099821235fd7870370,candidates[].name_original (COUNCILOR AT LARGE),DONNA M. COLORID,DONNA M. COLORIO,"Page 1 of Worcester2021_d0.pdf rendered at 165dpi. Heading: ""SUMMARY REPORT / OFFICIAL ELECTION RESULTS / MUNICIPAL ELECTION 11/02/2021 / REPORT-EL45  PAGE 001"", ""BALLOTS CAST - TOTAL. 17,326"". Printed lines: MAYOR ""DONNA M. COLORIO . 4,153 24.87""; COUNCILOR AT LARGE ""DONNA M. COLORIO . 7,285 10.76""; SCHOOL COMMITTEE MEMBER (VOTE FOR) 6 ""JERMAINE L. JOHNSON . 8,908 14.81 / SUSAN M. MAILMAN . 8,879 14.77 / MOLLY O. MCCULLOUGH . 8,197 13.63 / TRACY O'CONNELL NOVICK . 8,022 13.34 / JERMOH V. KAMARA . 8,001 13.31 / LAURA B. CLANCEY . 6,911 11.49 / DIANNA L. BIANCHERIA. . 6,132 10.20 / SHANEL C. SOUCY . 5,085 8.46 / Total . 60,135 / Blank Votes . 43,821"". COUNCILOR DISTRICT 1 prints ""SEAN M. ROSE . 3,408 53.19"", which the record already has right.","The same candidate, the same substitution, in the second of her two contests. The figure 7,285 is exact. || not applied: 2 places hold 'DONNA M. COLORID'; ambiguous",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Worcester2021,fb10b18cb2e5c2690e9d0fbf96dd8d0d28b2d3a2c8481c099821235fd7870370,candidates[].name_original (SCHOOL COMMITTEE MEMBER),SUSAN M. WAILMAN,SUSAN M. MAILMAN,"Page 1 of Worcester2021_d0.pdf rendered at 165dpi. Heading: ""SUMMARY REPORT / OFFICIAL ELECTION RESULTS / MUNICIPAL ELECTION 11/02/2021 / REPORT-EL45  PAGE 001"", ""BALLOTS CAST - TOTAL. 17,326"". Printed lines: MAYOR ""DONNA M. COLORIO . 4,153 24.87""; COUNCILOR AT LARGE ""DONNA M. COLORIO . 7,285 10.76""; SCHOOL COMMITTEE MEMBER (VOTE FOR) 6 ""JERMAINE L. JOHNSON . 8,908 14.81 / SUSAN M. MAILMAN . 8,879 14.77 / MOLLY O. MCCULLOUGH . 8,197 13.63 / TRACY O'CONNELL NOVICK . 8,022 13.34 / JERMOH V. KAMARA . 8,001 13.31 / LAURA B. CLANCEY . 6,911 11.49 / DIANNA L. BIANCHERIA. . 6,132 10.20 / SHANEL C. SOUCY . 5,085 8.46 / Total . 60,135 / Blank Votes . 43,821"". COUNCILOR DISTRICT 1 prints ""SEAN M. ROSE . 3,408 53.19"", which the record already has right.","A W read for an M. The figure 8,879 is exact.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Worcester2021,fb10b18cb2e5c2690e9d0fbf96dd8d0d28b2d3a2c8481c099821235fd7870370,candidates[] (SCHOOL COMMITTEE MEMBER): name_original AND votes,"JEREMIAH M. GAMBA, votes 8018","JERMOH V. KAMARA, votes 8001","Page 1 of Worcester2021_d0.pdf rendered at 165dpi. Heading: ""SUMMARY REPORT / OFFICIAL ELECTION RESULTS / MUNICIPAL ELECTION 11/02/2021 / REPORT-EL45  PAGE 001"", ""BALLOTS CAST - TOTAL. 17,326"". Printed lines: MAYOR ""DONNA M. COLORIO . 4,153 24.87""; COUNCILOR AT LARGE ""DONNA M. COLORIO . 7,285 10.76""; SCHOOL COMMITTEE MEMBER (VOTE FOR) 6 ""JERMAINE L. JOHNSON . 8,908 14.81 / SUSAN M. MAILMAN . 8,879 14.77 / MOLLY O. MCCULLOUGH . 8,197 13.63 / TRACY O'CONNELL NOVICK . 8,022 13.34 / JERMOH V. KAMARA . 8,001 13.31 / LAURA B. CLANCEY . 6,911 11.49 / DIANNA L. BIANCHERIA. . 6,132 10.20 / SHANEL C. SOUCY . 5,085 8.46 / Total . 60,135 / Blank Votes . 43,821"". COUNCILOR DISTRICT 1 prints ""SEAN M. ROSE . 3,408 53.19"", which the record already has right.","The only row in this record where the FIGURE is wrong as well as the name, and the figure is not a misreading of anything on the page. The arithmetic confirms it: with 8,001 the School Committee marks are 60,135 + 43,821 blanks = 103,956 = 17,326 ballots x 6 seats exactly. With the record's 8,018 it is 103,973, which is 17 marks MORE than there are ballot-seats and therefore impossible. The string ""8018"" and ""8,018"" appear nowhere in any reading of the document. Both errors are in the same row, so they are one correction, not two. || REREAD 2026-09-06: page 1 of Worcester2021_d0.pdf, sha256 fb10b18cb2e5c2690e9d0fbf96dd8d0d28b2d3a2c8481c099821235fd7870370 (7p), rendered with pymupdf at 150dpi -- born-digital, legible without enlargement. The right column prints, verbatim: 'SCHOOL COMMITTEE MEMBER / (VOTE FOR) 6 / (WITH 50 OF 50 PRECINCTS COUNTED) / JERMAINE L. JOHNSON 8,908 14.81 / SUSAN M. MAILMAN 8,879 14.77 / MOLLY O. MCCULLOUGH 8,197 13.63 / TRACY OCONNELL NOVICK 8,022 13.34 / JERMOH V. KAMARA 8,001 13.31 / LAURA B. CLANCEY 6,911 11.49 / DIANNA L. BIANCHERIA. 6,132 10.20 / SHANEL C. SOUCY 5,085 8.46 / Total 60,135 / Blank Votes 43,821'. The fifth row is JERMOH V. KAMARA at 8,001; the string GAMBA does not occur on the page. Arithmetic done outside the model: the eight printed rows sum to 60,135, equal to the printed Total; 60,135 + 43,821 = 103,956 = 17,326 ballots x 6 seats exactly (page 1 prints 'BALLOTS CAST - TOTAL. 17,326'). With 8,018 the rows sum to 60,152, seventeen over the printed Total and seventeen over the ballot-seat ceiling, which is impossible. The printed percentage settles it independently of the transcription: 8001/60135 = 13.305 -> 13.31 as printed, whereas 8018/60135 = 13.333 -> 13.33.",verified,session 2026-09-06,2026-09-06,
Stoughton2025,a952b9126dfa605fa81997ebde24383f68db3e2bba37831992db81d3cc3b7405,"candidates[].name_original (REPRESENTATIVES, Precinct 6)",Warren Leew,Warren Loew,"Page 8 of Stoughton2025_d0.pdf rendered at 140dpi: the Precinct 6 Town Meeting Representatives table, columns Pct 1 through Pct 8 and Total, all figures in the Pct 6 column. Printed rows include ""Warren Loew  158  158"" and ""Joseph Figueiredo  170  170"", between ""Martin R. West, III 143"" and ""Edward DeFelice 211""; the block ends ""Blanks 4491 / All Others 79 / Katherine Flynn-McFadden 4 / Matthew Medina 3 / Total 6540 6,540"". The raw_ocr has both rows with the right figures and the spaces closed up: ""| WarrenLoew | ... | 158 |"" and ""| JosephFigueiredo | ... | 170 |"".","Both figures are exact and both spellings are wrong in the record, so the rows were read correctly and only the names were altered. The OCR corroborates the page independently -- it loses the space inside the name but not a letter.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Buckland2022,71adea1435a09daaaef5135fb375eaa86369f1cd45976c1172e12e17ce626163,elections[6].candidates[0].name_original  (Finance Committee (1 Year unexpired term)),Dana G Willmore,Dena G Willmore,"Page 2, under the heading ""Finance Committee (1 Year unexpired term)"": ""Dena G Willmore    128 votes / John Finck 1 / Blanks 18 / Total votes cast 147"". The scan is clean and the first vowel is unambiguously an e; the same page prints ""Dean"" three times with an a, so the letterforms are distinguishable. Read as a page image at 150 dpi; the PDF has no text layer.","A one-letter transcription slip in name_original. Every figure in the record matches the document exactly, all twelve contests are present, and the document is right: ""BUCKLAND RESULTS OF ANNUAL TOWN ELECTION - MAY 3, 2022"" on all three pages, ""147 Ballots were cast"", attested ""Karen Blom, Town Clerk"". Recorded as a row rather than an edit because name_original is the transcription and grounding matches against it; correcting it in place would silently move what the checks compare to.",proposed,civicatlas-qa (unattended run),2026-09-06,
Ashburnham2026,d31275b71a7b64ec7e0ec8d69b20aafa57f4050cadf4c82831a6fc4cf3d87473,elections[7].candidates[1].name_original,Jeremy Smeltekop,Jeremey Smeltekop,"Rendered from the PDF and read off the page: ""Jeremey Smeltekop (28 Lakeshore Dr.)   49   64   113""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Ashland2025,120c925e19c6a3d23e6a8b1261d48bd2beca8858ef04253b973da6b494e0c88f,elections[1].candidates[1].name_original,"Joseph J. Magnani, Jr.","JOSPEH J. MAGNANI, JR.","Rendered from the PDF and read off the page: ""JOSPEH J. MAGNANI, JR.   57  81  57  37  56  57  345""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Auburn2026,214a1c1219880424df86eb561cfb4dbb4423f23a992da3e19d2a86dc8e6639f6,elections[9].candidates[6].name_original,Claire Jacqueline Swenson,CLAIRE JACQELINE SWENSON,"Rendered from the PDF and read off the page: ""*CLAIRE JACQELINE SWENSON   35 ARLINGTON STREET   6""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Boxford2022,9ffe60f1242b37e479170777bae585107a6fc8a258a413a124a10af909020ef6,elections[10].candidates[0].name_original,Bankson C. Ritter Jr.,"Bankson C. Riter, Jr.","Rendered from the PDF and read off the page: ""Bankson C. Riter, Jr.   203""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Burlington2022,39afec31bf9dc225c0456bad29e432ef43c99b489fcddd8fbb0515e914592e28,elections[20].candidates[0].name_original,Anthony John Salamone III,Anthoney John Salamone III,"Rendered from the PDF and read off the page: ""Anthoney John Salamone III*   144   144""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Chilmark2026,7af0687cb55715f140f6de0e54f311ae7b8adc3f9501d1d465d85bcba6c9651b,elections[9].candidates[21].name_original,Caulder Martin,Cauder Martin,"Rendered from the PDF and read off the page: ""Cauder Martin  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0  1""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Falmouth2026,64895b3d56a6d5a2828ec7d4b355a38d8d143b2dde63b08314d388b1fdce91ff,elections[10].candidates[0].name_original,Susan Lloyd,Susan Lioyd,"Rendered from the PDF and read off the page: ""Susan  Lioyd   3   3""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Freetown2024,5e218af9091bd61a45081c94bf36822ec541ab36d2635449ee1d7e70359f5b58,elections[4].candidates[1].name_original,Christopher Jonathan Dudley,Christopher Johathan Dudley,"Rendered from the PDF and read off the page: ""Christopher Johathan Dudley   198   243   198   639""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Gill2021,f6202f21bf049e62853f3fb19559258eacf03f33b2048eb7c46c52af8232bc89,elections[0].candidates[0].name_original,Charles J. Gabriel II,Charles J. Garbiel II,"Rendered from the PDF and read off the page: ""Board of Selectmen 3 yrs: Charles J. Garbiel II 74 votes""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Groton2022,1a1633bb77209f84256b625fb2ad852ae6e1396153c4a9be31ece3e5657f4352,elections[2].candidates[0].name_original,Evan Thackaberry,Evan Thackaberrry,"Rendered from the PDF and read off the page: ""Evan Thackaberrry   272   230   268   22   792""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
Groveland2025,e78607f08a95fa051aa36270ac1356af49d4ea5e9f8a066d974bbbda7dff4e1c,elections[9].candidates[0].name_original,Elizabeth G Greenhangen,Elizabeth G Greenhagen,"Rendered from the PDF and read off the page: ""Elizabeth G Greenhagen   205   219   424""","name_original is the transcription and grounding matches against it, so it has to carry the document's spelling, misprint and all; the canonical form is derived by a later pass that never sees the document. The record holds a tidied spelling, so the name grounds nowhere and layer 1 reports the record as unread. The page was rendered from the PDF and the printed line read off the rendered glyphs -- not off the text layer, which is the thing in dispute. Nothing else in these records changed.",applied,civicatlas-qa (unattended run),2026-09-06,2026-09-06
