stem,municipality,population,rung,class,contests,reason,page_prints_seats_the_arithmetic_denies
Amherst2018,Amherst,39263,review,seat count nobody could establish,7,SELECT BOARD: seats inferred as 3 but the totals imply 1,
Natick2020,Natick,37006,review,a figure nobody could read,18,Recreation and Parks (Three Years): a figure was not readable,
Chelmsford2011,Chelmsford,36392,hold,impossible arithmetic,15,TOWN MTG REPRES (3 YEARS) (6) PCT #7: 3948 marks exceeds 564x6=3384 -- impossible,marks are exactly 7x ballots but the page is quoted as printing 6 seats: '(6)'; marks are exactly 7x ballots but the page is quoted as printing 6 seats: 'TOWN MTG REPRES (3 YEARS) (6) PCT #7'
Chelmsford2019,Chelmsford,36392,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dartmouth2009,Dartmouth,33783,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dartmouth2011,Dartmouth,33783,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dartmouth2013,Dartmouth,33783,review,seat count nobody could establish,5,PUBLIC LIBRARIES TRUSTEE: seat count left null by the transcriber,
Dartmouth2016,Dartmouth,33783,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dartmouth2017,Dartmouth,33783,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dartmouth2020,Dartmouth,33783,review,seat count nobody could establish,16,PUBLIC LIBRARIES TRUSTEE: seats inferred as 3 but the totals imply 2,
Franklin2018,Franklin,33261,review,seat count nobody could establish,6,BOARD OF ASSESSORS: seat count left null by the transcriber,
Dracut2018,Dracut,32617,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dracut2020,Dracut,32617,review,a figure nobody could read,3,SELECTMEN: a figure was not readable,
Falmouth2007,Falmouth,32517,review,a figure nobody could read,15,Precinct 3 Town Meeting Member Elect Nine for three year term: a figure was not readable,
Falmouth2008,Falmouth,32517,hold,impossible arithmetic,17,Planning Board: 25593 marks exceeds 8531x2=17062 -- impossible,marks are exactly 3x ballots but the page is quoted as printing 2 seats: 'Elect two for three year term'; marks are exactly 3x ballots but the page is quoted as printing 2 seats: 'Elect two for three year term'
Falmouth2011,Falmouth,32517,hold,impossible arithmetic,18,Selectman Elect two for three year term: 13644 marks exceeds 6819x2=13638 -- impossible,
Falmouth2012,Falmouth,32517,review,seat count nobody could establish,16,"PRECINCT 1 Town Meeting Member Elect Nine for three year term, Nine for two year, Nine for one year: seat count left null by the transcriber",
Falmouth2013,Falmouth,32517,hold,impossible arithmetic,11,Town Meeting Member Elect Nine for three year term: 10566 marks exceeds 946x9=8514 -- impossible,
Falmouth2020,Falmouth,32517,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Needham2011,Needham,32091,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Needham2013,Needham,32091,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Tewksbury2012,Tewksbury,31342,review,seat count nobody could establish,6,Board of Selectmen: seat count left null by the transcriber,
NorthAttleborough2006,NorthAttleborough,30834,hold,locator: no contest in the cut,0,the parse found no contest in this section,
NorthAttleborough2012,NorthAttleborough,30834,review,a figure nobody could read,1,Town Election - Vote for 2: a figure was not readable,
Milford2002,Milford,30379,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Milford2006,Milford,30379,review,seat count nobody could establish,24,FOR MILFORD REDEVELOPMENT AUTHORITY – 5 YEARS: seat count left null by the transcriber,
Milford2007,Milford,30379,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Milford2018,Milford,30379,review,a figure nobody could read,12,FOR TOWN MEETING MEMBERS For Three Years: a figure was not readable,
Milford2020,Milford,30379,hold,impossible arithmetic,27,FOR TRUSTEE OF VERNON GROVE CEMETERY: 12258 marks exceeds 6129x1=6129 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for one'
Wellesley2009,Wellesley,29550,hold,impossible arithmetic,23,"BOARD OF SELECTMEN, Three Years, Vote for not more than TWO: 5474 marks exceeds 1843x2=3686 -- impossible",
Stoughton2014,Stoughton,29281,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Stoughton2015,Stoughton,29281,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Stoughton2016,Stoughton,29281,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Saugus2013,Saugus,28619,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Saugus2015,Saugus,28619,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Saugus2017,Saugus,28619,review,seat count nobody could establish,11,Town Meeting (two years) PCT 1: seat count left null by the transcriber,
Danvers2016,Danvers,28087,hold,impossible arithmetic,17,Library Trustees - Vote for not more than 2 for 3 Years: 4773 marks exceeds 1591x2=3182 -- impossible,marks are exactly 3x ballots but the page is quoted as printing 2 seats: 'Vote for not more than 2 for 3 Years'
Belmont2004,Belmont,27295,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Belmont2008,Belmont,27295,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Belmont2017,Belmont,27295,review,seat count nobody could establish,26,TOWN COMMITTEE REPUBLICAN: seat count left null by the transcriber,
Belmont2018,Belmont,27295,hold,impossible arithmetic,6,BOARD OF SELECTMEN: 7117 marks exceeds 2122x3=6366 -- impossible,
Belmont2020,Belmont,27295,review,seat count nobody could establish,10,TOWN COMMITTEE: seat count left null by the transcriber,
Wakefield2017,Wakefield,27090,review,seat count nobody could establish,10,SCHOOL COMMITTEE - 3 YR TERM: seats inferred as 3 but the totals imply 2,
Wakefield2020,Wakefield,27090,review,seat count nobody could establish,12,Town Council: seats inferred as 2 but the totals imply 1,
Walpole2012,Walpole,26383,review,seat count nobody could establish,11,"for the purpose of funding Municipal and School operating budgets for the fiscal year beginning July 1, 2012?: seat count left null by the transcriber",
Walpole2013,Walpole,26383,hold,impossible arithmetic,8,MODERATOR For one year - Vote for 1: 1886 marks exceeds 1875x1=1875 -- impossible,
Walpole2018,Walpole,26383,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Walpole2019,Walpole,26383,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Burlington2013,Burlington,26377,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Burlington2014,Burlington,26377,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Burlington2015,Burlington,26377,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Burlington2016,Burlington,26377,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Burlington2017,Burlington,26377,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Burlington2018,Burlington,26377,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Marshfield2008,Marshfield,25825,review,seat count nobody could establish,12,BOARD OF ASSESSOR THREE YEARS: seat count left null by the transcriber,
Marshfield2012,Marshfield,25825,hold,impossible arithmetic,10,CEMETERY COMMISSION THREE YEARS: 489 marks exceeds 488x1=488 -- impossible,
Marshfield2013,Marshfield,25825,review,seat count nobody could establish,10,SCHOOL COMMITTEE THREE YEARS: seats inferred as 2 but the totals imply 1,
Marshfield2014,Marshfield,25825,hold,impossible arithmetic,12,LIBRARY TRUSTEE THREE YEARS: 713 marks exceeds 549x1=549 -- impossible,
Reading2019,Reading,25518,review,a figure nobody could read,14,Moderator - 1 Year - Vote for One: a figure was not readable,
Reading2020,Reading,25518,review,a figure nobody could read,2,Moderator - 1 Year - Vote for One: a figure was not readable,
Yarmouth2011,Yarmouth,25023,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Yarmouth2020,Yarmouth,25023,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Canton2005,Canton,24370,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Canton2010,Canton,24370,review,seat count nobody could establish,7,HOUSING AUTHORITY: seats inferred as 2 but the totals imply 1,
Canton2017,Canton,24370,review,seat count nobody could establish,8,Three year terms BOARD OF SELECTMEN: seats inferred as 3 but the totals imply 2,
Hingham2006,Hingham,24284,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hingham2007,Hingham,24284,review,no date could be derived,12,no election date could be derived,
Hingham2009,Hingham,24284,review,seat count nobody could establish,11,FOR BOARD OF ASSESSORS: seats inferred as 2 but the totals imply 1,
Hingham2011,Hingham,24284,review,seat count nobody could establish,12,SCHOOL COMMITTEE (Three Years): seats inferred as 3 but the totals imply 2,
Hingham2013,Hingham,24284,hold,impossible arithmetic,11,SELECTMAN (Three Years): 4955 marks exceeds 4952x1=4952 -- impossible,
Mansfield2001,Mansfield,23860,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Mansfield2013,Mansfield,23860,review,seat count nobody could establish,5,SELECTMEN: seat count left null by the transcriber,
Mansfield2014,Mansfield,23860,review,seat count nobody could establish,4,Board of Selectmen: seat count left null by the transcriber,
Wareham2011,Wareham,23303,review,no date could be derived,4,no election date could be derived,
Wareham2017,Wareham,23303,review,seat count nobody could establish,7,SELECTMEN: seat count left null by the transcriber,
Wareham2018,Wareham,23303,review,seat count nobody could establish,9,SCHOOL COMMITTEE: seats inferred as 3 but the totals imply 2,
Stoneham2015,Stoneham,23244,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Winchester2005,Winchester,22970,review,no date could be derived,21,no election date could be derived,
Winchester2011,Winchester,22970,review,no date could be derived,21,no election date could be derived,
Gardner2009,Gardner,21287,review,seat count nobody could establish,8,Councilor-At-Large: seat count left null by the transcriber,
Ludlow2005,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2006,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2007,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2009,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2010,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2011,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2012,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2013,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2014,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2015,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2016,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2017,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2018,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2019,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ludlow2020,Ludlow,21002,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Bourne2015,Bourne,20452,review,seat count nobody could establish,14,Non Veteran: seat count left null by the transcriber,
Bourne2017,Bourne,20452,hold,impossible arithmetic,10,Bird of Health 3 years vote for 1: 2206 marks exceeds 1103x1=1103 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: '3 years vote for 1'
Bourne2020,Bourne,20452,hold,impossible arithmetic,11,Jonathan Bourne Library Trustee 3 Years vote for 1: 3196 marks exceeds 1598x1=1598 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: '3 Years vote for 1'
Marblehead2007,Marblehead,20441,hold,impossible arithmetic,12,School Committee 3 Year Term: 7070 marks exceeds 3535x1=3535 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'; marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Marblehead2009,Marblehead,20441,review,a figure nobody could read,13,Recreation and Park Commission 1 Year Term: a figure was not readable,
Marblehead2010,Marblehead,20441,hold,impossible arithmetic,15,School Committee 3 Year Term: 7118 marks exceeds 3559x1=3559 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Marblehead2011,Marblehead,20441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Marblehead2012,Marblehead,20441,hold,impossible arithmetic,11,Selectmen 1 Year Term: 8986 marks exceeds 1797x5=8985 -- impossible,
Marblehead2013,Marblehead,20441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Marblehead2015,Marblehead,20441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Marblehead2018,Marblehead,20441,hold,impossible arithmetic,13,Selectmen 1 Year Term: 11482 marks exceeds 2296x5=11480 -- impossible,
Marblehead2019,Marblehead,20441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Marblehead2020,Marblehead,20441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sandwich2010,Sandwich,20259,hold,impossible arithmetic,14,Three Sandwich Public Library Trustees each for a term of Three: 7651 marks exceeds 2549x3=7647 -- impossible,
Sandwich2011,Sandwich,20259,hold,impossible arithmetic,12,One Weston Memorial Fund Trustee for term of three years: 3116 marks exceeds 3111x1=3111 -- impossible,
Sandwich2018,Sandwich,20259,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sandwich2019,Sandwich,20259,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sandwich2020,Sandwich,20259,review,a figure nobody could read,11,"Planning Board, Not More than Two - Three Year Terms: a figure was not readable",
Holden2017,Holden,19905,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Holden2020,Holden,19905,review,seat count nobody could establish,4,BOARD OF SELECTMEN: seat count left null by the transcriber,
Grafton2013,Grafton,19664,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Grafton2014,Grafton,19664,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Norton2015,Norton,19202,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sudbury2014,Sudbury,18934,review,no date could be derived,15,no election date could be derived,
Sudbury2017,Sudbury,18934,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sudbury2018,Sudbury,18934,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sudbury2019,Sudbury,18934,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hopkinton2017,Hopkinton,18758,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sharon2009,Sharon,18575,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sharon2010,Sharon,18575,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sharon2011,Sharon,18575,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sharon2012,Sharon,18575,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sharon2013,Sharon,18575,review,seat count nobody could establish,7,SELECTMEN FOR 3 YEARS: seats inferred as 3 but the totals imply 1,
Sharon2016,Sharon,18575,hold,impossible arithmetic,7,SCHOOL COMMITTEE FOR 3 YEARS (VOTE FOR NOT MORE THAN 2): 5987 marks exceeds 2975x2=5950 -- impossible,
Sharon2020,Sharon,18575,review,seat count nobody could establish,8,SCHOOL COMMITTEE for THREE Years: seats inferred as 3 but the totals imply 2,
Concord2020,Concord,18491,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Pembroke2012,Pembroke,18361,hold,locator: no contest in the cut,0,the parse found no contest in this section,
SouthHadley2007,SouthHadley,18150,hold,locator: no contest in the cut,0,the parse found no contest in this section,
SouthHadley2008,SouthHadley,18150,review,seat count nobody could establish,18,TOWN MEETING MEMBER PRECINCT A FOR THREE YEARS: seat count left null by the transcriber,
SouthHadley2009,SouthHadley,18150,hold,impossible arithmetic,17,SELECTBOARD FOR THREE YEARS: 9756 marks exceeds 4878x1=4878 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2010,SouthHadley,18150,review,a figure nobody could read,18,LIBRARY TRUSTEES FOR THREE YEARS: a figure was not readable,
SouthHadley2011,SouthHadley,18150,hold,impossible arithmetic,22,BOARD OF HEALTH FOR THREE YEARS: 2066 marks exceeds 2060x1=2060 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2012,SouthHadley,18150,hold,impossible arithmetic,21,SCHOOL COMMITTEE FOR THREE YEARS: 2102 marks exceeds 1051x1=1051 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'; marks are exactly 3x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'; marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2013,SouthHadley,18150,review,seat count nobody could establish,15,PLANNING BOARD FOR THREE YEARS: seats inferred as 2 but the totals imply 1,
SouthHadley2014,SouthHadley,18150,review,seat count nobody could establish,16,LIBRARY TRUSTEES FOR THREE YEARS: seat count left null by the transcriber,
SouthHadley2015,SouthHadley,18150,hold,impossible arithmetic,20,PLANNING BOARD FOR FIVE YEARS: 1652 marks exceeds 1556x1=1556 -- impossible,
SouthHadley2016,SouthHadley,18150,hold,locator: no contest in the cut,0,the parse found no contest in this section,
SouthHadley2018,SouthHadley,18150,hold,locator: no contest in the cut,0,the parse found no contest in this section,
SouthHadley2019,SouthHadley,18150,review,seat count nobody could establish,21,Precinct A Town Meeting Members (3 yr): seats inferred as 4 but the totals imply 1,
SouthHadley2020,SouthHadley,18150,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rockland2004,Rockland,17803,review,seat count nobody could establish,13,SELECTMEN: seats inferred as 3 but the totals imply 2,
Rockland2005,Rockland,17803,hold,impossible arithmetic,11,SCHOOL COMMITTEE MEMBER for three years: 3267 marks exceeds 3264x1=3264 -- impossible,
Greenfield2015,Greenfield,17768,hold,impossible arithmetic,19,TRUSTEE OF JENNIE L. BASCOM EDUCATION FUND FOR TWO YEARS: 13358 marks exceeds 4451x3=13353 -- impossible,
Greenfield2017,Greenfield,17768,review,seat count nobody could establish,6,SCHOOL COMMITTEE Two yr term: seat count left null by the transcriber,
Abington2017,Abington,17062,review,seat count nobody could establish,12,Board of Selectmen: seats inferred as 3 but the totals imply 2,
Abington2019,Abington,17062,review,seat count nobody could establish,8,Board of Selectmen: seats inferred as 2 but the totals imply 1,
Westport2006,Westport,16339,review,seat count nobody could establish,11,Trustees Of Free Public Library - Three Years: seats inferred as 3 but the totals imply 2,
Westport2010,Westport,16339,review,seat count nobody could establish,13,Trustees Of Free Public Library - Three Years: seats inferred as 2 but the totals imply 1,
Westport2011,Westport,16339,hold,impossible arithmetic,18,Selectman - Three Years: 6912 marks exceeds 3456x1=3456 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Selectman - Three Years'
Westport2012,Westport,16339,hold,impossible arithmetic,10,Selectman - Three Years: 6246 marks exceeds 3123x1=3123 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'One Selectmen'; marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'One Landing Commissioner'
Westport2013,Westport,16339,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Westport2014,Westport,16339,review,seat count nobody could establish,15,Selectman - Three Years: seats inferred as 3 but the totals imply 2,
Westport2015,Westport,16339,review,seat count nobody could establish,11,Selectman - Three Years: seats inferred as 3 but the totals imply 2,
Westport2020,Westport,16339,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northbridge2005,Northbridge,16335,hold,impossible arithmetic,8,PLANNING BOARD 3yr terms: 3828 marks exceeds 1914x1=1914 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: '(vote for one)'
Northbridge2007,Northbridge,16335,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northbridge2008,Northbridge,16335,review,seat count nobody could establish,9,CAPITAL EXCLUSION QUESTION: seat count left null by the transcriber,
Northbridge2016,Northbridge,16335,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northbridge2017,Northbridge,16335,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northbridge2019,Northbridge,16335,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northbridge2020,Northbridge,16335,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Westwood2008,Westwood,16266,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Duxbury2007,Duxbury,16090,review,seat count nobody could establish,9,School Committee: seat count left null by the transcriber,
Duxbury2012,Duxbury,16090,hold,impossible arithmetic,7,Planning Board: 1060 marks exceeds 1059x1=1059 -- impossible,
Fairhaven2014,Fairhaven,15924,review,a figure nobody could read,9,Selectman - 3 yrs.: a figure was not readable,
Fairhaven2016,Fairhaven,15924,hold,impossible arithmetic,9,School Committee - 3 years: 3350 marks exceeds 1673x2=3346 -- impossible,
Fairhaven2017,Fairhaven,15924,hold,impossible arithmetic,8,School Committee - 3 years Vote for Two: 1120 marks exceeds 559x2=1118 -- impossible,
Fairhaven2018,Fairhaven,15924,hold,impossible arithmetic,10,School Committee - 3 years Vote for Two: 1437 marks exceeds 713x2=1426 -- impossible,
Fairhaven2020,Fairhaven,15924,hold,impossible arithmetic,9,Board of Public Works - 3 years Vote for One: 4328 marks exceeds 2164x1=2164 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Longmeadow2020,Longmeadow,15853,review,a figure nobody could read,6,SCHOOL COMMITTEE- FOR 3 YRS VOTE FOR THREE: a figure was not readable,
Northborough2008,Northborough,15741,review,seat count nobody could establish,10,Total votes for NS/SB Regional School Committee: seat count left null by the transcriber,
Northborough2010,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northborough2011,Northborough,15741,review,no date could be derived,8,no election date could be derived,
Northborough2012,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northborough2013,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northborough2014,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northborough2015,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northborough2017,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Northborough2018,Northborough,15741,hold,locator: no contest in the cut,0,the parse found no contest in this section,
NorthReading2009,NorthReading,15554,hold,locator: no contest in the cut,0,the parse found no contest in this section,
NorthReading2015,NorthReading,15554,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Seekonk2009,Seekonk,15531,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Seekonk2010,Seekonk,15531,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Seekonk2011,Seekonk,15531,hold,impossible arithmetic,9,SCHOOL COMMITTEE (Vote for ONE) 3 YR TERM: 4974 marks exceeds 2487x1=2487 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for ONE'
Seekonk2013,Seekonk,15531,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Seekonk2014,Seekonk,15531,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Seekonk2017,Seekonk,15531,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Clinton2018,Clinton,15428,review,seat count nobody could establish,8,Parks & Rec.: seats inferred as 3 but the totals imply 2,
Clinton2019,Clinton,15428,review,no date could be derived,8,no election date could be derived,
Belchertown2011,Belchertown,15350,review,seat count nobody could establish,9,RECALL VOTE * For the recall of Selectman James A. Barry. Against the recall of Selectman James A. Barry.: seat count left null by the transcriber,
Belchertown2018,Belchertown,15350,hold,impossible arithmetic,8,Board of Assessors 3 years Vote for one: 1305 marks exceeds 1304x1=1304 -- impossible,
Whitman2010,Whitman,15121,review,a figure nobody could read,1,Board of Assessors: a figure was not readable,
Whitman2018,Whitman,15121,review,seat count nobody could establish,1,PROHIBITION OF RECREATION MARIJUANA: seat count left null by the transcriber,
Whitman2020,Whitman,15121,review,no date could be derived,10,no election date could be derived,
Swampscott2017,Swampscott,15111,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Mashpee2007,Mashpee,15060,hold,locator: no contest in the cut,0,the parse found no contest in this section,
